steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
50,1,-0.0044,50,-0.0044,1,0
100,2,-0.0077999999999999944,50,-0.003400000000000001,2,0
150,3,-0.012000000000000005,50,-0.004200000000000001,3,0
200,4,-0.017800000000000003,50,-0.005799999999999998,4,0
250,5,-0.022599999999999974,50,-0.0048,5,0
300,6,-0.02839999999999994,50,-0.005799999999999998,6,0
350,7,-0.03199999999999992,50,-0.003600000000000001,7,0
400,8,-0.03659999999999989,50,-0.0046,8,0
450,9,-0.04099999999999986,50,-0.0044,9,0
500,10,-0.04599999999999983,50,-0.004999999999999999,10,0
600,12,-0.05659999999999977,50,-0.0046,12,0
700,14,-0.06639999999999985,50,-0.004200000000000001,14,0
850,17,-0.08360000000000034,50,-0.0059999999999999975,17,0
1000,20,-0.09880000000000078,50,-0.0044,20,0
1250,25,-0.12440000000000151,50,-0.005799999999999998,25,0
1500,30,-0.15020000000000225,50,-0.0059999999999999975,30,0
2000,40,-0.20180000000000373,50,-0.004000000000000001,40,0
2500,50,-0.2536000000000047,50,-0.005199999999999999,50,0
3000,60,-0.30299999999999927,50,-0.004999999999999999,60,0
3500,70,-0.350799999999994,50,-0.005199999999999999,70,0
4000,80,-0.39959999999998863,50,-0.004999999999999999,80,0
4500,90,-0.4477999999999833,50,-0.0046,90,0
5000,100,-0.4985999999999777,50,-0.004200000000000001,100,0
6000,120,-0.5983999999999667,50,-0.005799999999999998,120,0
7000,140,-0.6947999999999561,50,-0.004200000000000001,140,0
8500,170,-0.8379999999999403,50,-0.0046,170,0
10000,200,-0.9939999999999232,50,-0.006399999999999997,200,0
12500,250,-1.2377999999998963,50,-0.004999999999999999,250,0
15000,300,-1.4457999999998734,50,-0.0044,300,0
20000,400,-1.8433999999998296,50,-0.002800000000000001,400,0
25000,500,-2.2211999999997882,50,-0.003000000000000001,500,0
30000,600,-2.4833999999997594,50,-0.0014000000000000002,600,0
35000,700,-2.7731999999997274,50,-0.0018000000000000004,700,0
40000,800,-2.950799999999708,50,-0.0018000000000000004,800,0
45000,900,-3.1921999999996813,50,-0.0022000000000000006,900,0
50000,1000,-3.3525999999996636,50,-0.0014000000000000002,1000,0
60000,1200,-3.830599999999611,50,-0.0012000000000000001,1200,0
70000,1400,-4.154399999999918,50,-0.0008,1400,0
85000,1700,-4.511200000000671,50,-0.0004,1700,0
100000,2000,-4.839600000001364,50,-0.0008,2000,0
125000,2500,-5.4032000000025535,50,-0.0012000000000000001,2500,0
150000,3000,-5.92740000000366,50,-0.0020000000000000005,3000,0
200000,4000,-6.937800000005792,50,-0.0004,4000,0
250000,5000,-7.733600000007471,50,-0.002800000000000001,5000,0
300000,6000,-8.649600000006519,50,-0.0008,6000,0
350000,7000,-9.354200000004877,50,-0.0006000000000000001,7000,0
400000,8000,-10.09500000000315,50,-0.0004,8000,0
450000,9000,-10.753000000001617,50,-0.0002,9000,0
500000,10000,-11.390200000000132,50,-0.0002,10000,0
