steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.001,1,-0.001,2.0
2,2,-0.002,1,-0.001,4.0
3,3,-0.003,1,-0.001,6.0
4,4,-0.004,1,-0.001,8.0
5,5,-0.005,1,-0.001,10.0
6,6,-0.006,1,-0.001,12.0
7,7,-0.007,1,-0.001,14.0
8,8,-0.008,1,-0.001,16.0
9,9,-0.009000000000000001,1,-0.001,18.0
10,10,-0.010000000000000002,1,-0.001,20.0
12,12,-0.012000000000000004,1,-0.001,24.0
14,14,-0.014000000000000005,1,-0.001,28.0
17,17,-0.017000000000000008,1,-0.001,34.0
20,20,-0.02000000000000001,1,-0.001,40.0
25,25,-0.025000000000000015,1,-0.001,50.0
30,30,-0.028000000000000018,1,-0.001,58.0
40,40,-0.036000000000000025,1,-0.001,76.0
50,50,-0.04200000000000003,1,-0.001,92.0
60,60,-0.05000000000000004,1,-0.001,110.0
70,70,-0.060000000000000046,1,-0.001,130.0
80,80,-0.06800000000000005,1,-0.001,148.0
90,90,-0.07800000000000006,1,-0.001,168.0
100,100,-0.08800000000000006,1,-0.001,188.0
120,120,-0.10400000000000008,1,-0.001,224.0
140,140,-0.11600000000000009,1,0.001,256.0
170,170,-0.1440000000000001,1,-0.001,314.0
200,200,-0.16600000000000012,1,-0.001,366.0
250,250,-0.20800000000000016,1,-0.001,458.0
300,300,-0.25000000000000017,1,-0.001,550.0
400,400,-0.33800000000000024,1,-0.001,738.0
500,500,-0.4240000000000003,1,-0.001,924.0
600,600,-0.5060000000000003,1,0.001,1106.0
700,700,-0.5880000000000004,1,-0.001,1288.0
800,800,-0.6720000000000005,1,-0.001,1472.0
900,900,-0.7580000000000006,1,-0.001,1658.0
1000,1000,-0.8300000000000006,1,-0.001,1830.0
1200,1200,-0.9940000000000008,1,-0.001,2194.0
1400,1400,-1.1659999999999824,1,-0.001,2566.0
1700,1700,-1.4179999999999546,1,0.001,3118.0
2000,2000,-1.6539999999999286,1,-0.001,3654.0
2500,2500,-2.035999999999887,1,-0.001,4536.0
3000,3000,-2.4379999999998425,1,-0.001,5438.0
4000,4000,-3.249999999999753,1,0.001,7250.0
5000,5000,-4.033999999999682,1,-0.001,9034.0
6000,6000,-4.849999999999954,1,-0.001,10850.0
7000,7000,-5.6500000000002215,1,-0.001,12650.0
8000,8000,-6.458000000000491,1,-0.001,14458.0
9000,9000,-7.242000000000753,1,-0.001,16242.0
10000,10000,-8.040000000000983,1,-0.001,18040.0
