steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.4,1,0.4,0.6
2,2,1.1,1,0.7000000000000001,0.8999999999999999
3,3,1.1,1,0.0,1.9
4,4,1.1,1,0.0,2.9
5,5,1.3,1,0.2,3.7
6,6,1.9000000000000001,1,0.6000000000000001,4.1
7,7,1.9000000000000001,1,0.0,5.1
8,8,2.7,1,0.8,5.3
9,9,3.5,1,0.8,5.5
10,10,4.1,1,0.6000000000000001,5.9
12,12,5.5,1,0.4,6.5
14,14,6.9,1,0.7000000000000001,7.1
17,17,7.800000000000001,1,0.5,9.2
20,20,9.500000000000002,1,0.30000000000000004,10.499999999999998
25,25,11.700000000000001,1,0.1,13.299999999999999
30,30,13.400000000000002,1,0.5,16.599999999999998
40,40,18.7,1,1.0,21.3
50,50,25.199999999999996,1,1.0,24.800000000000004
60,60,30.799999999999994,1,0.7000000000000001,29.200000000000006
70,70,35.099999999999994,1,0.1,34.900000000000006
80,80,39.5,1,0.7000000000000001,40.5
90,90,44.0,1,0.9,46.0
100,100,49.4,1,1.0,50.6
120,120,59.40000000000001,1,0.4,60.59999999999999
140,140,67.40000000000002,1,0.0,72.59999999999998
170,170,83.90000000000009,1,0.0,86.09999999999991
200,200,97.40000000000009,1,0.7000000000000001,102.59999999999991
250,250,120.3000000000001,1,0.30000000000000004,129.6999999999999
300,300,146.50000000000014,1,0.8,153.49999999999983
400,400,193.90000000000003,1,0.1,206.09999999999994
500,500,243.20000000000002,1,0.7000000000000001,256.79999999999995
600,600,297.00000000000006,1,1.0,302.99999999999966
700,700,350.00000000000006,1,0.6000000000000001,349.99999999999966
800,800,401.5000000000002,1,0.9,398.4999999999995
900,900,453.40000000000003,1,0.7000000000000001,446.5999999999997
1000,1000,499.6,1,1.0,500.3999999999997
1200,1200,629.4000000000012,1,0.8,570.5999999999984
1400,1400,817.0999999999998,1,1.0,582.8999999999999
1700,1700,1110.3999999999994,1,1.0,589.6000000000001
2000,2000,1406.0999999999995,1,1.0,593.9000000000002
2500,2500,1893.0999999999997,1,1.0,606.9000000000001
3000,3000,2382.7000000000003,1,1.0,617.3000000000003
4000,4000,3360.3,1,1.0,639.7000000000003
5000,5000,4334.000000000001,1,1.0,666.0
6000,6000,5311.400000000003,1,1.0,688.5999999999998
7000,7000,6282.8,1,1.0,717.1999999999997
8000,8000,7252.700000000001,1,1.0,747.2999999999998
9000,9000,8223.0,1,1.0,776.9999999999997
10000,10000,9195.7,1,1.0,804.2999999999996
