steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
50,1,0.04361073648083321,50,0.04361073648083321,1,0
100,2,0.03841073648083324,50,-0.005199999999999999,2,0
150,3,0.032810736480833276,50,-0.005599999999999998,2,0
200,4,0.026810736480833312,50,-0.0059999999999999975,3,0
250,5,0.02201073648083334,50,-0.0048,4,0
300,6,0.016410736480833375,50,-0.005599999999999998,5,0
350,7,0.011810736480833368,50,-0.0046,6,0
400,8,1.0652349732388862,50,1.0534242367580529,7,0
450,9,1.0600349732388867,50,-0.005199999999999999,8,0
500,10,1.0546349732388873,50,-0.0053999999999999986,9,0
600,12,1.0442349732388885,50,-0.0048,11,0
700,14,1.0344349732388896,50,-0.0048,13,0
850,17,0.49402887751420566,50,-0.0046,16,0
1000,20,0.47942887751420726,50,-0.004999999999999999,19,0
1250,25,0.45402887751421006,50,-0.005799999999999998,24,0
1500,30,1.9626923627331163,50,-0.0048,29,0
2000,40,1.9076923627331224,50,-0.0046,39,0
2500,50,1.9361063541328154,50,-0.0044,49,0
3000,60,2.833708206186775,50,0.943601852053954,59,0
3500,70,2.777908206186781,50,-0.0059999999999999975,69,0
4000,80,1.7935868038208198,50,-0.0059999999999999975,79,0
4500,90,0.44645922074208944,50,-0.004999999999999999,89,0
5000,100,1.694343478253605,50,-1.521921464370494,99,0
6000,120,-0.47378100658396005,50,-0.004999999999999999,119,0
7000,140,-1.0588307870386944,50,-0.005799999999999998,138,0
8500,170,0.38769831903598273,50,-0.004200000000000001,168,0
10000,200,-0.8515621796038603,50,-0.004000000000000001,198,0
12500,250,-2.1803945617350378,50,-0.005199999999999999,247,0
15000,300,0.3559409925200806,50,-0.005799999999999998,296,0
20000,400,-0.6940515989590585,50,-0.005199999999999999,394,0
25000,500,-4.294491054351418,50,-0.004200000000000001,492,0
30000,600,-4.292381390100437,50,-0.0053999999999999986,590,0
35000,700,-9.677655865217133,50,0.3927955747825168,687,0
40000,800,-11.93911771144329,50,-0.006199999999999997,785,0
45000,900,-12.92608028595258,50,-0.0046,884,0
50000,1000,-13.516114321718788,50,-0.004200000000000001,984,0
60000,1200,-15.719600067581846,50,-0.004200000000000001,1175,0
70000,1400,-16.94560006757899,50,-0.006999999999999996,1361,0
85000,1700,-19.666583081924188,50,-0.006199999999999997,1651,0
100000,2000,-20.294413394863767,50,-0.0038000000000000013,1946,0
125000,2500,-24.816042322701115,50,-0.006799999999999996,2429,0
150000,3000,-28.491706711344897,50,-0.004999999999999999,2914,0
200000,4000,-31.75021585346688,50,-0.005599999999999998,3896,0
250000,5000,-50.11271189476001,50,-0.006399999999999997,4876,0
300000,6000,-56.374462814258656,50,-0.0046,5832,0
350000,7000,-60.7073159451596,50,-0.004999999999999999,6819,0
400000,8000,-74.14285103030616,50,-0.007399999999999995,7787,0
450000,9000,-83.792955040877,50,-0.0053999999999999986,8776,0
500000,10000,-89.1307414498895,50,-0.004999999999999999,9767,0
