steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-10.0,1,-1.0,20.0
12,12,-12.0,1,-1.0,24.0
14,14,-14.0,1,-1.0,28.0
17,17,-17.0,1,-1.0,34.0
20,20,-20.0,1,-1.0,40.0
25,25,-25.0,1,-1.0,50.0
30,30,-30.0,1,-1.0,60.0
40,40,-40.0,1,-1.0,80.0
50,50,-48.0,1,-1.0,98.0
60,60,-56.0,1,-1.0,116.0
70,70,-66.0,1,-1.0,136.0
80,80,-76.0,1,-1.0,156.0
90,90,-86.0,1,-1.0,176.0
100,100,-96.0,1,-1.0,196.0
120,120,-112.0,1,-1.0,232.0
140,140,-126.0,1,-1.0,266.0
170,170,-154.0,1,-1.0,324.0
200,200,-180.0,1,-1.0,380.0
250,250,-224.0,1,-1.0,474.0
300,300,-262.0,1,-1.0,562.0
400,400,-342.0,1,-1.0,742.0
500,500,-420.0,1,-1.0,920.0
600,600,-502.0,1,-1.0,1102.0
700,700,-590.0,1,-1.0,1290.0
800,800,-672.0,1,-1.0,1472.0
900,900,-752.0,1,-1.0,1652.0
1000,1000,-840.0,1,-1.0,1840.0
1200,1200,-1012.0,1,-1.0,2212.0
1400,1400,-1170.0,1,-1.0,2570.0
1700,1700,-1394.0,1,-1.0,3094.0
2000,2000,-1648.0,1,-1.0,3648.0
2500,2500,-2032.0,1,-1.0,4532.0
3000,3000,-2354.0,1,1.0,5354.0
4000,4000,-3066.0,1,-1.0,7066.0
5000,5000,-3774.0,1,-1.0,8774.0
6000,6000,-4406.0,1,1.0,10406.0
7000,7000,-5028.0,1,-1.0,12028.0
8000,8000,-5664.0,1,-1.0,13664.0
9000,9000,-6220.0,1,1.0,15220.0
10000,10000,-6790.0,1,1.0,16790.0
