steps,episode,total_return,episode_len,episode_return,total_regret
100,1,-6.0,100,-6.0,2.0
200,2,-4.0,100,2.0,2.0
300,3,8.0,100,12.0,2.0
400,4,14.0,100,6.0,4.0
500,5,0.0,100,-14.0,4.0
600,6,0.0,100,0.0,6.0
700,7,8.0,100,8.0,8.0
800,8,0.0,100,-8.0,10.0
900,9,0.0,100,0.0,10.0
1000,10,14.0,100,14.0,10.0
1200,12,22.0,100,12.0,14.0
1400,14,16.0,100,-6.0,14.0
1700,17,-6.0,100,-18.0,16.0
2000,20,-6.0,100,-4.0,20.0
2500,25,-32.0,100,-6.0,26.0
3000,30,-24.0,100,18.0,30.0
4000,40,10.0,100,4.0,44.0
5000,50,-16.0,100,10.0,58.0
6000,60,-22.0,100,-20.0,70.0
7000,70,-46.0,100,-10.0,76.0
8000,80,-84.0,100,2.0,82.0
9000,90,-38.0,100,22.0,88.0
10000,100,-52.0,100,6.0,98.0
12000,120,-18.0,100,-10.0,124.0
14000,140,14.0,100,2.0,150.0
17000,170,-70.0,100,-10.0,182.0
20000,200,-42.0,100,-14.0,210.0
25000,250,-30.0,100,4.0,272.0
30000,300,-32.0,100,0.0,330.0
40000,400,-2.0,100,-4.0,430.0
50000,500,108.0,100,22.0,532.0
60000,600,24.0,100,-4.0,626.0
70000,700,-54.0,100,-12.0,734.0
80000,800,116.0,100,12.0,822.0
90000,900,168.0,100,8.0,910.0
100000,1000,158.0,100,-4.0,1016.0
120000,1200,154.0,100,14.0,1242.0
140000,1400,194.0,100,-12.0,1418.0
170000,1700,104.0,100,-6.0,1714.0
200000,2000,-84.0,100,-10.0,2044.0
250000,2500,-104.0,100,0.0,2550.0
300000,3000,-112.0,100,-6.0,3054.0
400000,4000,-506.0,100,-20.0,4042.0
500000,5000,-458.0,100,-8.0,4978.0
600000,6000,-930.0,100,-22.0,5944.0
700000,7000,-628.0,100,-12.0,6912.0
800000,8000,-1234.0,100,2.0,7900.0
900000,9000,-606.0,100,16.0,8898.0
1000000,10000,-966.0,100,-6.0,9902.0
