steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.1,100,1.1
300,3,3.2,100,1.1
400,4,4.2,100,1.0
500,5,5.300000000000001,100,1.1
600,6,6.300000000000001,100,1.0
700,7,7.300000000000001,100,1.0
800,8,8.4,100,1.1
900,9,9.4,100,1.0
1000,10,10.4,100,1.0
1200,12,12.4,100,1.0
1400,14,14.5,100,1.0
1700,17,17.6,100,1.1
2000,20,20.6,100,1.0
2500,25,25.800000000000004,100,1.1
3000,30,30.900000000000006,100,1.0
4000,40,41.40000000000001,100,1.1
5000,50,52.00000000000002,100,1.0
6000,60,62.60000000000003,100,1.1
7000,70,73.39999999999999,100,1.1
8000,80,83.89999999999996,100,1.0
9000,90,94.59999999999992,100,1.0
10000,100,105.49999999999987,100,1.1
12000,120,127.49999999999976,100,1.1
14000,140,149.39999999999966,100,1.0
17000,170,182.3999999999995,100,1.1
20000,200,215.19999999999933,100,1.1
25000,250,270.1999999999994,100,1.1
30000,300,324.80000000000047,100,1.1
40000,400,434.3000000000026,100,1.1
50000,500,540.8000000000042,100,1.0
60000,600,641.0000000000042,100,1.0
70000,700,741.0000000000042,100,1.0
80000,800,841.1000000000042,100,1.0
90000,900,941.1000000000042,100,1.0
100000,1000,1041.1000000000042,100,1.0
