steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
41,1,1.0,41,1.0,1,0.0
82,2,0.0,41,-1.0,1,2.0
123,3,-1.0,41,-1.0,1,4.0
164,4,0.0,41,1.0,2,4.0
205,5,-1.0,41,-1.0,2,6.0
246,6,0.0,41,1.0,3,6.0
287,7,1.0,41,1.0,4,6.0
328,8,0.0,41,-1.0,4,8.0
369,9,-1.0,41,-1.0,4,10.0
410,10,0.0,41,1.0,5,10.0
492,12,0.0,41,-1.0,6,12.0
574,14,0.0,41,1.0,7,14.0
697,17,-1.0,41,1.0,8,18.0
820,20,-2.0,41,-1.0,9,22.0
1025,25,1.0,41,1.0,13,24.0
1230,30,0.0,41,-1.0,15,30.0
1640,40,2.0,41,-1.0,21,38.0
2050,50,4.0,41,-1.0,27,46.0
2460,60,4.0,41,-1.0,32,56.0
2870,70,8.0,41,-1.0,39,62.0
3280,80,10.0,41,1.0,45,70.0
3690,90,10.0,41,-1.0,50,80.0
4100,100,6.0,41,-1.0,53,94.0
4920,120,4.0,41,1.0,62,116.0
5740,140,4.0,41,-1.0,72,136.0
6970,170,12.0,41,1.0,91,158.0
8200,200,20.0,41,-1.0,110,180.0
10250,250,18.0,41,-1.0,134,232.0
12300,300,20.0,41,-1.0,160,280.0
16400,400,-10.0,41,-1.0,195,410.0
20500,500,-6.0,41,1.0,247,506.0
24600,600,-2.0,41,1.0,299,602.0
28700,700,4.0,41,1.0,352,696.0
32800,800,-14.0,41,-1.0,393,814.0
36900,900,-18.0,41,1.0,441,918.0
41000,1000,-26.0,41,-1.0,487,1026.0
49200,1200,-24.0,41,1.0,588,1224.0
57400,1400,-16.0,41,-1.0,692,1416.0
69700,1700,-40.0,41,-1.0,830,1740.0
82000,2000,-42.0,41,1.0,979,2042.0
102500,2500,-40.0,41,-1.0,1230,2540.0
123000,3000,-46.0,41,1.0,1477,3046.0
164000,4000,30.0,41,1.0,2015,3970.0
205000,5000,56.0,41,1.0,2528,4944.0
246000,6000,40.0,41,1.0,3020,5960.0
287000,7000,44.0,41,-1.0,3522,6956.0
328000,8000,52.0,41,1.0,4026,7948.0
369000,9000,48.0,41,-1.0,4524,8952.0
410000,10000,44.0,41,-1.0,5022,9956.0
