steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-8.0,20,-8.0,2.0
40,2,-2.0,20,6.0,2.0
60,3,2.0,20,4.0,4.0
80,4,4.0,20,2.0,4.0
100,5,2.0,20,-2.0,6.0
120,6,-6.0,20,-8.0,6.0
140,7,-6.0,20,0.0,8.0
160,8,-14.0,20,-8.0,8.0
180,9,-24.0,20,-10.0,10.0
200,10,-16.0,20,8.0,12.0
240,12,-6.0,20,6.0,12.0
280,14,-8.0,20,-2.0,12.0
340,17,-12.0,20,-6.0,14.0
400,20,-8.0,20,6.0,16.0
500,25,6.0,20,4.0,22.0
600,30,28.0,20,4.0,28.0
800,40,26.0,20,-8.0,44.0
1000,50,22.0,20,2.0,56.0
1200,60,14.0,20,-2.0,68.0
1400,70,-12.0,20,-2.0,74.0
1600,80,-20.0,20,-2.0,82.0
1800,90,-32.0,20,0.0,96.0
2000,100,-34.0,20,4.0,106.0
2400,120,-24.0,20,8.0,126.0
2800,140,-36.0,20,-2.0,144.0
3400,170,-42.0,20,-2.0,172.0
4000,200,-66.0,20,4.0,210.0
5000,250,-114.0,20,-2.0,272.0
6000,300,-100.0,20,-2.0,322.0
8000,400,-90.0,20,-6.0,436.0
10000,500,-46.0,20,0.0,522.0
12000,600,28.0,20,-4.0,608.0
14000,700,38.0,20,2.0,712.0
16000,800,54.0,20,-8.0,804.0
18000,900,42.0,20,2.0,906.0
20000,1000,56.0,20,6.0,992.0
24000,1200,50.0,20,-2.0,1178.0
28000,1400,42.0,20,-4.0,1374.0
34000,1700,124.0,20,4.0,1682.0
40000,2000,156.0,20,-4.0,1966.0
50000,2500,202.0,20,0.0,2422.0
60000,3000,308.0,20,6.0,2946.0
80000,4000,170.0,20,2.0,3980.0
100000,5000,114.0,20,-6.0,5024.0
120000,6000,382.0,20,4.0,6098.0
140000,7000,352.0,20,-12.0,7082.0
160000,8000,522.0,20,0.0,8090.0
180000,9000,566.0,20,2.0,9118.0
200000,10000,612.0,20,-8.0,10118.0
