steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.8,1,0.8,0.19999999999999996
2,2,1.6,1,0.8,0.3999999999999999
3,3,2.1,1,0.5,0.8999999999999999
4,4,2.1,1,0.0,1.9
5,5,2.4000000000000004,1,0.30000000000000004,2.5999999999999996
6,6,3.4000000000000004,1,1.0,2.5999999999999996
7,7,3.8000000000000003,1,0.4,3.1999999999999997
8,8,4.4,1,0.6000000000000001,3.5999999999999996
9,9,5.300000000000001,1,0.9,3.6999999999999997
10,10,5.6000000000000005,1,0.30000000000000004,4.3999999999999995
12,12,7.400000000000001,1,0.9,4.599999999999999
14,14,7.700000000000001,1,0.30000000000000004,6.299999999999999
17,17,9.3,1,0.5,7.699999999999998
20,20,11.1,1,1.0,8.899999999999999
25,25,14.200000000000001,1,0.9,10.799999999999997
30,30,16.4,1,1.0,13.599999999999998
40,40,22.8,1,1.0,17.2
50,50,29.900000000000006,1,1.0,20.099999999999994
60,60,34.00000000000001,1,0.9,25.999999999999996
70,70,39.300000000000004,1,0.4,30.700000000000003
80,80,45.5,1,0.9,34.50000000000001
90,90,49.80000000000001,1,0.2,40.199999999999996
100,100,54.60000000000001,1,0.2,45.4
120,120,63.800000000000026,1,0.7000000000000001,56.19999999999998
140,140,73.10000000000001,1,0.7000000000000001,66.89999999999999
170,170,87.69999999999999,1,0.1,82.30000000000001
200,200,101.79999999999997,1,0.6000000000000001,98.20000000000003
250,250,127.29999999999994,1,0.5,122.70000000000006
300,300,153.19999999999993,1,0.1,146.80000000000004
400,400,201.2999999999999,1,0.9,198.70000000000007
500,500,250.59999999999994,1,1.0,249.40000000000003
600,600,299.7999999999999,1,0.1,300.20000000000005
700,700,348.69999999999993,1,0.1,351.3
800,800,400.9999999999999,1,0.2,399.00000000000006
900,900,450.7999999999999,1,0.1,449.20000000000005
1000,1000,497.9,1,0.7000000000000001,502.09999999999997
1200,1200,675.5999999999962,1,1.0,524.4000000000037
1400,1400,872.0999999999962,1,1.0,527.9000000000037
1700,1700,1161.3999999999962,1,1.0,538.6000000000039
2000,2000,1452.3999999999965,1,1.0,547.6000000000037
2500,2500,1943.1999999999966,1,1.0,556.8000000000037
3000,3000,2430.499999999996,1,1.0,569.5000000000035
4000,4000,3404.5999999999954,1,1.0,595.4000000000034
5000,5000,4373.699999999995,1,1.0,626.3000000000033
6000,6000,5345.899999999994,1,1.0,654.1000000000035
7000,7000,6320.599999999998,1,1.0,679.4000000000036
8000,8000,7297.2999999999965,1,1.0,702.7000000000037
9000,9000,8274.699999999997,1,1.0,725.3000000000036
10000,10000,9255.399999999992,1,1.0,744.6000000000039
