steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,2.0,3,1.0,2,0.0
9,3,3.0,3,1.0,3,0.0
12,4,2.0,3,-1.0,3,2.0
15,5,1.0,3,-1.0,3,4.0
18,6,2.0,3,1.0,4,4.0
21,7,1.0,3,-1.0,4,6.0
24,8,2.0,3,1.0,5,6.0
27,9,3.0,3,1.0,6,6.0
30,10,4.0,3,1.0,7,6.0
36,12,2.0,3,-1.0,7,10.0
42,14,2.0,3,1.0,8,12.0
51,17,1.0,3,-1.0,9,16.0
60,20,2.0,3,1.0,11,18.0
75,25,1.0,3,1.0,13,24.0
90,30,0.0,3,1.0,15,30.0
120,40,0.0,3,-1.0,20,40.0
150,50,-2.0,3,-1.0,24,52.0
180,60,2.0,3,1.0,31,58.0
210,70,-4.0,3,-1.0,33,74.0
240,80,-4.0,3,-1.0,38,84.0
270,90,-4.0,3,-1.0,43,94.0
300,100,-6.0,3,-1.0,47,106.0
360,120,-6.0,3,1.0,57,126.0
420,140,-12.0,3,-1.0,64,152.0
510,170,-18.0,3,-1.0,76,188.0
600,200,-20.0,3,-1.0,90,220.0
750,250,-14.0,3,1.0,118,264.0
900,300,-12.0,3,1.0,144,312.0
1200,400,-18.0,3,-1.0,191,418.0
1500,500,-28.0,3,-1.0,236,528.0
1800,600,-44.0,3,-1.0,278,644.0
2100,700,-42.0,3,1.0,329,742.0
2400,800,-40.0,3,-1.0,380,840.0
2700,900,-32.0,3,-1.0,434,932.0
3000,1000,-36.0,3,1.0,482,1036.0
3600,1200,-30.0,3,1.0,585,1230.0
4200,1400,-46.0,3,1.0,677,1446.0
5100,1700,-32.0,3,1.0,834,1732.0
6000,2000,-38.0,3,-1.0,981,2038.0
7500,2500,-52.0,3,-1.0,1224,2552.0
9000,3000,-62.0,3,1.0,1469,3062.0
12000,4000,-56.0,3,-1.0,1972,4056.0
15000,5000,-82.0,3,1.0,2459,5082.0
18000,6000,-106.0,3,1.0,2947,6106.0
21000,7000,-128.0,3,1.0,3436,7128.0
24000,8000,-184.0,3,-1.0,3908,8184.0
27000,9000,-210.0,3,1.0,4395,9210.0
30000,10000,-168.0,3,-1.0,4916,10168.0
