steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.9908042696376653,1,-1.9908042696376653,2.0
2,2,-1.5672116509297191,1,0.4235926187079462,2.0
3,3,-0.9181563543845628,1,0.6490552965451564,4.0
4,4,-3.4358139587709373,1,-2.5176576043863745,6.0
5,5,-5.173375602006121,1,-1.7375616432351835,8.0
6,6,-5.4595704300342645,1,-0.2861948280281441,10.0
7,7,-7.218059749070028,1,-1.7584893190357627,12.0
8,8,-7.626002014433629,1,-0.4079422653636019,14.0
9,9,-5.829448585129249,1,1.79655342930438,14.0
10,10,-7.250799454551107,1,-1.4213508694218575,16.0
12,12,-9.447661373257166,1,-2.489608024205105,20.0
14,14,-11.453056134552066,1,-0.4980634414893189,24.0
17,17,-14.217751011673787,1,1.446708521491252,30.0
20,20,-18.450892184628874,1,-0.6949701173309131,36.0
25,25,-21.545215113215285,1,-0.7169879904172973,44.0
30,30,-32.20433593401602,1,-0.9648165778852527,54.0
40,40,-31.431990101251927,1,1.7521878907742892,64.0
50,50,-46.54411821920776,1,-0.9073140439031151,84.0
60,60,-49.56110588429762,1,0.7204959305702272,104.0
70,70,-55.39872997543103,1,-0.4123320948228233,120.0
80,80,-67.51456805055976,1,-1.9449690482744795,136.0
90,90,-67.82965988317837,1,0.7430908654151793,152.0
100,100,-73.81733220983938,1,0.10213436619488236,168.0
120,120,-98.31623170523704,1,-1.147371626156393,206.0
140,140,-105.80468431714726,1,-0.7242320268111786,238.0
170,170,-129.665263334249,1,-1.3602405336682393,292.0
200,200,-161.63825294614128,1,-1.4877526172451223,346.0
250,250,-214.57451845016797,1,-1.6395610741120787,442.0
300,300,-254.90965338109302,1,-1.3631208804232013,526.0
400,400,-355.692102024169,1,-2.407362952641133,710.0
500,500,-441.84028876570204,1,-1.4023357842345958,898.0
600,600,-517.3497905603133,1,-1.078045274695064,1090.0
700,700,-601.746761978364,1,-1.0525248732022363,1270.0
800,800,-685.9489554503156,1,-0.335765427779839,1452.0
900,900,-745.5595434632941,1,-1.978594534975199,1630.0
1000,1000,-838.5227361013001,1,-1.5632033792199427,1818.0
1200,1200,-994.6345800595773,1,-3.0562413738992675,2162.0
1400,1400,-1152.5505141847536,1,-0.27795099464075645,2528.0
1700,1700,-1361.186660694629,1,-1.1417283176026582,3052.0
2000,2000,-1619.9006757020773,1,-0.28506431810347665,3614.0
2500,2500,-2015.681566514727,1,1.7347275556864252,4498.0
3000,3000,-2341.160261650292,1,0.5502980749366537,5358.0
4000,4000,-3110.865161763519,1,-1.1408241775749348,7116.0
5000,5000,-3872.0922461231585,1,-1.8979517534457617,8846.0
6000,6000,-4605.593820225816,1,-1.789194333495977,10578.0
7000,7000,-5277.045543060249,1,-1.502130344625177,12252.0
8000,8000,-5973.811324628192,1,-0.6648536474163698,13908.0
9000,9000,-6572.099938633467,1,1.2079800594509655,15528.0
10000,10000,-7241.476053901563,1,0.2958192295188544,17200.0
