steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.9347550860186693,1,-1.9347550860186693,1.0
2,2,-2.0970735387236905,1,-0.1623184527050213,2.0
3,3,0.5237557893824278,1,2.6208293281061183,2.3
4,4,-0.16538392671540547,1,-0.6891397160978333,2.9
5,5,2.9380623936202572,1,3.103446320335663,3.0
6,6,-2.0681185810798017,1,-5.006180974700059,3.3
7,7,6.983900668052646,1,9.052019249132448,4.1
8,8,7.83890124113246,1,0.8550005730798131,4.3
9,9,9.367820288319527,1,1.5289190471870662,5.0
10,10,9.950648857871581,1,0.5828285695520546,5.5
12,12,9.958415970044381,1,-3.0287293372173782,6.6
14,14,6.673370260052244,1,-5.460715423234428,8.2
17,17,12.00186188910517,1,3.886995303412137,9.099999999999998
20,20,6.786732266835349,1,2.464462142562089,10.499999999999996
25,25,-1.9838650735949712,1,-0.445422923780912,13.499999999999995
30,30,-9.485059588159938,1,-2.07512815129509,15.399999999999993
40,40,2.4106699098623734,1,3.6975717774795025,20.399999999999995
50,50,6.515097305798768,1,1.2710000354314301,25.699999999999996
60,60,27.69430257798713,1,7.037381537848033,31.599999999999998
70,70,33.079465328022174,1,-1.2932900905025204,37.09999999999999
80,80,52.13013725218562,1,3.432092445444163,42.99999999999998
90,90,67.67484620380142,1,1.3736542768560795,46.29999999999998
100,100,71.91553460511115,1,2.007732366041699,52.09999999999999
120,120,76.9063447921336,1,2.1655493741563645,62.89999999999997
140,140,105.38600812575302,1,-0.19182931295875827,73.59999999999997
170,170,151.48680733472244,1,1.5386958886862365,85.99999999999997
200,200,166.65464883204723,1,5.801998435903527,103.59999999999995
250,250,191.11155160054025,1,-1.3643837155120122,129.09999999999994
300,300,226.3619681480551,1,-1.3153932986659405,154.69999999999987
400,400,308.02615209328746,1,0.6165126423642087,204.39999999999984
500,500,340.8917827130173,1,-0.6813445978686992,248.49999999999974
600,600,377.46691208295346,1,-5.01752977522435,295.4999999999997
700,700,422.05757609687845,1,-1.0720011209551583,340.99999999999983
800,800,440.2886116141347,1,-0.13718559885598913,387.29999999999995
900,900,463.0661902763476,1,4.884571450387361,435.1000000000001
1000,1000,520.3284756522596,1,-4.257556089956301,481.9000000000002
1200,1200,748.6642064094748,1,2.672914638715386,506.3000000000044
1400,1400,947.0823513104725,1,-4.330350060293696,532.0000000000086
1700,1700,1306.903753855175,1,-1.1614749301261376,566.3000000000152
2000,2000,1537.0785813998702,1,-2.902623880922358,599.8000000000219
2500,2500,1998.5369116538673,1,0.7263653970912682,659.2000000000328
3000,3000,2485.795907892061,1,0.5483864110109081,722.5000000000433
4000,4000,3287.056327926797,1,2.3243712914814862,834.2000000000648
5000,5000,4038.5111150348766,1,4.113075257890589,959.3000000000861
6000,6000,4760.318867795637,1,0.6623138171532428,1075.9000000000601
7000,7000,5745.041394444602,1,0.38444924119699286,1198.1999999999741
8000,8000,6406.984903150967,1,-1.221170830701554,1316.2999999998876
9000,9000,7283.8964217712755,1,2.8131573406637993,1432.4999999998017
10000,10000,8035.690559362349,1,5.025639473399954,1548.9999999997153
