steps,episode,total_return,episode_len,episode_return,total_regret
14,1,-4.0,14,-4.0,0.0
28,2,-8.0,14,-4.0,2.0
42,3,-2.0,14,6.0,2.0
56,4,-2.0,14,0.0,2.0
70,5,-4.0,14,-2.0,2.0
84,6,-4.0,14,0.0,4.0
98,7,0.0,14,4.0,4.0
112,8,-2.0,14,-2.0,6.0
126,9,0.0,14,2.0,6.0
140,10,4.0,14,4.0,6.0
168,12,6.0,14,2.0,6.0
196,14,12.0,14,6.0,8.0
238,17,20.0,14,6.0,10.0
280,20,26.0,14,6.0,10.0
350,25,28.0,14,-2.0,16.0
420,30,20.0,14,-4.0,24.0
560,40,-4.0,14,2.0,34.0
700,50,-8.0,14,-6.0,46.0
840,60,14.0,14,4.0,56.0
980,70,8.0,14,2.0,66.0
1120,80,16.0,14,4.0,72.0
1260,90,8.0,14,-6.0,82.0
1400,100,24.0,14,8.0,92.0
1680,120,-6.0,14,-4.0,116.0
1960,140,6.0,14,2.0,132.0
2380,170,-8.0,14,2.0,152.0
2800,200,-16.0,14,2.0,182.0
3500,250,14.0,14,2.0,226.0
4200,300,14.0,14,2.0,284.0
5600,400,-12.0,14,4.0,388.0
7000,500,4.0,14,2.0,474.0
8400,600,12.0,14,-4.0,578.0
9800,700,-2.0,14,2.0,688.0
11200,800,38.0,14,-2.0,788.0
12600,900,26.0,14,2.0,892.0
14000,1000,38.0,14,2.0,1008.0
16800,1200,50.0,14,6.0,1200.0
19600,1400,82.0,14,8.0,1388.0
23800,1700,102.0,14,2.0,1694.0
28000,2000,28.0,14,4.0,1998.0
35000,2500,106.0,14,-6.0,2398.0
42000,3000,230.0,14,4.0,2802.0
56000,4000,496.0,14,-2.0,3668.0
70000,5000,760.0,14,4.0,4362.0
84000,6000,1148.0,14,4.0,4978.0
98000,7000,1670.0,14,-2.0,5526.0
112000,8000,2214.0,14,0.0,5952.0
126000,9000,2644.0,14,0.0,6420.0
140000,10000,3150.0,14,0.0,6910.0
