steps,episode,total_return,episode_len,episode_return,total_regret
1,1,9.000000000000002,1,9.000000000000002,0.7
2,2,39.0,1,30.0,0.7
3,3,51.0,1,12.0,1.2999999999999998
4,4,66.0,1,15.0,1.7999999999999998
5,5,87.0,1,21.000000000000004,2.0999999999999996
6,6,96.0,1,9.000000000000002,2.8
7,7,120.0,1,24.0,3.0
8,8,147.0,1,27.0,3.1
9,9,147.0,1,0.0,4.1
10,10,177.0,1,30.0,4.1
12,12,180.0,1,3.0,6.0
14,14,204.0,1,0.0,7.2
17,17,246.0,1,9.000000000000002,8.799999999999999
20,20,300.0,1,24.0,9.999999999999998
25,25,348.0,1,9.000000000000002,13.399999999999999
30,30,450.0,1,18.000000000000004,15.0
40,40,624.0,1,12.0,19.200000000000003
50,50,777.0,1,12.0,24.1
60,60,945.0,1,30.0,28.499999999999993
70,70,1098.0,1,9.000000000000002,33.39999999999999
80,80,1299.0,1,18.000000000000004,36.699999999999996
90,90,1491.0,1,0.0,40.29999999999999
100,100,1617.0,1,24.0,46.09999999999998
120,120,1899.0,1,12.0,56.699999999999974
140,140,2199.0,1,6.0,66.69999999999999
170,170,2694.0,1,6.0,80.19999999999996
200,200,3174.0,1,21.000000000000004,94.19999999999997
250,250,3903.0,1,9.000000000000002,119.89999999999998
300,300,4620.0,1,12.0,146.00000000000003
400,400,6108.0,1,24.0,196.40000000000003
500,500,7752.0,1,9.000000000000002,241.5999999999999
600,600,9321.0,1,0.0,289.3
700,700,10845.0,1,18.000000000000004,338.5000000000004
800,800,12348.0,1,24.0,388.4000000000002
900,900,13854.0,1,21.000000000000004,438.19999999999993
1000,1000,15270.0,1,24.0,490.9999999999999
1200,1200,17058.0,1,9.000000000000002,631.4000000000068
1400,1400,19572.0,1,24.0,747.6000000000156
1700,1700,26778.0,1,27.0,807.400000000028
2000,2000,35352.0,1,30.0,821.6000000000296
2500,2500,50004.0,1,30.0,833.2000000000295
3000,3000,64536.0,1,30.0,848.8000000000295
4000,4000,93642.0,1,30.0,878.6000000000287
5000,5000,123003.0,1,30.0,899.9000000000289
6000,6000,152178.0,1,30.0,927.4000000000292
7000,7000,181248.0,1,30.0,958.4000000000289
8000,8000,210408.0,1,30.0,986.4000000000286
9000,9000,239391.0,1,30.0,1020.3000000000288
10000,10000,268692.0,1,30.0,1043.6000000000288
