steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,-2.0,3,-1.0,0,4.0
9,3,-3.0,3,-1.0,0,6.0
12,4,-2.0,3,1.0,1,6.0
15,5,-3.0,3,-1.0,1,8.0
18,6,-2.0,3,1.0,2,8.0
21,7,-3.0,3,-1.0,2,10.0
24,8,-4.0,3,-1.0,2,12.0
27,9,-5.0,3,-1.0,2,14.0
30,10,-4.0,3,1.0,3,14.0
36,12,-4.0,3,1.0,4,16.0
42,14,-4.0,3,-1.0,5,18.0
51,17,-7.0,3,-1.0,5,24.0
60,20,-8.0,3,-1.0,6,28.0
75,25,-9.0,3,1.0,8,34.0
90,30,-10.0,3,-1.0,10,40.0
120,40,-8.0,3,1.0,16,48.0
150,50,-12.0,3,-1.0,19,62.0
180,60,-8.0,3,1.0,26,68.0
210,70,-8.0,3,1.0,31,78.0
240,80,-8.0,3,-1.0,36,88.0
270,90,-6.0,3,-1.0,42,96.0
300,100,-10.0,3,-1.0,45,110.0
360,120,-10.0,3,1.0,55,130.0
420,140,-14.0,3,1.0,63,154.0
510,170,-10.0,3,1.0,80,180.0
600,200,-10.0,3,-1.0,95,210.0
750,250,-14.0,3,-1.0,118,264.0
900,300,-2.0,3,1.0,149,302.0
1200,400,6.0,3,1.0,203,394.0
1500,500,36.0,3,-1.0,268,464.0
1800,600,26.0,3,-1.0,313,574.0
2100,700,32.0,3,-1.0,366,668.0
2400,800,20.0,3,-1.0,410,780.0
2700,900,20.0,3,1.0,460,880.0
3000,1000,6.0,3,-1.0,503,994.0
3600,1200,0.0,3,-1.0,600,1200.0
4200,1400,4.0,3,-1.0,702,1396.0
5100,1700,20.0,3,-1.0,860,1680.0
6000,2000,-18.0,3,-1.0,991,2018.0
7500,2500,-8.0,3,-1.0,1246,2508.0
9000,3000,-14.0,3,-1.0,1493,3014.0
12000,4000,-8.0,3,1.0,1996,4008.0
15000,5000,-6.0,3,1.0,2497,5006.0
18000,6000,-44.0,3,1.0,2978,6044.0
21000,7000,-18.0,3,1.0,3491,7018.0
24000,8000,-58.0,3,1.0,3971,8058.0
27000,9000,-46.0,3,-1.0,4477,9046.0
30000,10000,-34.0,3,-1.0,4983,10034.0
