steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-1.0,1,1.0,4.0
4,4,-2.0,1,-1.0,6.0
5,5,-3.0,1,-1.0,8.0
6,6,-4.0,1,-1.0,10.0
7,7,-5.0,1,-1.0,12.0
8,8,-4.0,1,1.0,12.0
9,9,-5.0,1,-1.0,14.0
10,10,-4.0,1,1.0,14.0
12,12,-6.0,1,-1.0,18.0
14,14,-8.0,1,-1.0,22.0
17,17,-11.0,1,-1.0,28.0
20,20,-12.0,1,-1.0,32.0
25,25,-15.0,1,-1.0,40.0
30,30,-18.0,1,-1.0,48.0
40,40,-26.0,1,-1.0,66.0
50,50,-34.0,1,1.0,84.0
60,60,-42.0,1,1.0,102.0
70,70,-50.0,1,-1.0,120.0
80,80,-60.0,1,-1.0,140.0
90,90,-70.0,1,-1.0,160.0
100,100,-78.0,1,-1.0,178.0
120,120,-94.0,1,-1.0,214.0
140,140,-110.0,1,-1.0,250.0
170,170,-138.0,1,-1.0,308.0
200,200,-164.0,1,-1.0,364.0
250,250,-206.0,1,-1.0,456.0
300,300,-246.0,1,-1.0,546.0
400,400,-316.0,1,-1.0,716.0
500,500,-378.0,1,-1.0,878.0
600,600,-458.0,1,-1.0,1058.0
700,700,-546.0,1,-1.0,1246.0
800,800,-626.0,1,-1.0,1426.0
900,900,-710.0,1,-1.0,1610.0
1000,1000,-792.0,1,-1.0,1792.0
1200,1200,-962.0,1,-1.0,2162.0
1400,1400,-1128.0,1,-1.0,2528.0
1700,1700,-1386.0,1,-1.0,3086.0
2000,2000,-1618.0,1,-1.0,3618.0
2500,2500,-2016.0,1,-1.0,4516.0
3000,3000,-2354.0,1,-1.0,5354.0
4000,4000,-3018.0,1,-1.0,7018.0
5000,5000,-3680.0,1,-1.0,8680.0
6000,6000,-4266.0,1,-1.0,10266.0
7000,7000,-4824.0,1,1.0,11824.0
8000,8000,-5368.0,1,1.0,13368.0
9000,9000,-5864.0,1,1.0,14864.0
10000,10000,-6332.0,1,-1.0,16332.0
