steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-30.0,1,-30.0,2.0
2,2,-60.0,1,-30.0,4.0
3,3,-90.0,1,-30.0,6.0
4,4,-120.0,1,-30.0,8.0
5,5,-150.0,1,-30.0,10.0
6,6,-180.0,1,-30.0,12.0
7,7,-210.0,1,-30.0,14.0
8,8,-240.0,1,-30.0,16.0
9,9,-270.0,1,-30.0,18.0
10,10,-300.0,1,-30.0,20.0
12,12,-360.0,1,-30.0,24.0
14,14,-420.0,1,-30.0,28.0
17,17,-450.0,1,30.0,32.0
20,20,-540.0,1,-30.0,38.0
25,25,-630.0,1,-30.0,46.0
30,30,-720.0,1,-30.0,54.0
40,40,-1020.0,1,-30.0,74.0
50,50,-1260.0,1,-30.0,92.0
60,60,-1440.0,1,30.0,108.0
70,70,-1740.0,1,-30.0,128.0
80,80,-1920.0,1,-30.0,144.0
90,90,-2160.0,1,-30.0,162.0
100,100,-2340.0,1,30.0,178.0
120,120,-2700.0,1,30.0,210.0
140,140,-3180.0,1,-30.0,246.0
170,170,-3900.0,1,-30.0,300.0
200,200,-4560.0,1,-30.0,352.0
250,250,-5640.0,1,-30.0,438.0
300,300,-6720.0,1,-30.0,524.0
400,400,-9480.0,1,-30.0,716.0
500,500,-12000.0,1,-30.0,900.0
600,600,-14100.0,1,-30.0,1070.0
700,700,-16560.0,1,-30.0,1252.0
800,800,-19140.0,1,-30.0,1438.0
900,900,-21480.0,1,-30.0,1616.0
1000,1000,-23880.0,1,-30.0,1796.0
1200,1200,-28860.0,1,-30.0,2162.0
1400,1400,-33360.0,1,-30.0,2512.0
1700,1700,-40320.0,1,-30.0,3044.0
2000,2000,-46980.0,1,30.0,3566.0
2500,2500,-59100.0,1,-30.0,4470.0
3000,3000,-70380.0,1,-30.0,5346.0
4000,4000,-94320.0,1,-30.0,7144.0
5000,5000,-117540.0,1,-30.0,8918.0
6000,6000,-141660.0,1,-30.0,10722.0
7000,7000,-164280.0,1,-30.0,12476.0
8000,8000,-188040.0,1,30.0,14268.0
9000,9000,-211260.0,1,-30.0,16042.0
10000,10000,-234960.0,1,-30.0,17832.0
