steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
50,1,-0.004200000000000001,50,-0.004200000000000001,1,0
100,2,-0.008999999999999998,50,-0.0048,2,0
150,3,-0.015000000000000013,50,-0.0059999999999999975,3,0
200,4,-0.019599999999999992,50,-0.0046,4,0
250,5,-0.024599999999999962,50,-0.004999999999999999,5,0
300,6,-0.03019999999999993,50,-0.005599999999999998,6,0
350,7,-0.034199999999999904,50,-0.004000000000000001,7,0
400,8,-0.03839999999999988,50,-0.004200000000000001,8,0
450,9,-0.04339999999999985,50,-0.004999999999999999,9,0
500,10,-0.04759999999999982,50,-0.004200000000000001,10,0
600,12,-0.05919999999999975,50,-0.006199999999999997,12,0
700,14,-0.0683999999999999,50,-0.0053999999999999986,14,0
850,17,-0.08280000000000032,50,-0.004200000000000001,17,0
1000,20,-0.09860000000000077,50,-0.005599999999999998,20,0
1250,25,-0.1240000000000015,50,-0.0053999999999999986,25,0
1500,30,-0.14740000000000217,50,-0.0044,30,0
2000,40,-0.19520000000000354,50,-0.0038000000000000013,40,0
2500,50,-0.24400000000000494,50,-0.0048,50,0
3000,60,-0.2936000000000003,50,-0.0046,60,0
3500,70,-0.3425999999999949,50,-0.0044,70,0
4000,80,-0.3951999999999891,50,-0.005799999999999998,80,0
4500,90,-0.4469999999999834,50,-0.0046,90,0
5000,100,-0.4977999999999778,50,-0.004999999999999999,100,0
6000,120,-0.596199999999967,50,-0.0053999999999999986,120,0
7000,140,-0.6939999999999562,50,-0.004200000000000001,140,0
8500,170,-0.8449999999999396,50,-0.0059999999999999975,170,0
10000,200,-0.9881999999999238,50,-0.004200000000000001,200,0
12500,250,-1.231799999999897,50,-0.004000000000000001,250,0
15000,300,-1.4699999999998707,50,-0.003600000000000001,300,0
20000,400,-1.975999999999815,50,-0.005199999999999999,400,0
25000,500,-2.4819999999997595,50,-0.005199999999999999,500,0
30000,600,-2.9813999999997045,50,-0.0053999999999999986,600,0
35000,700,-3.4885999999996486,50,-0.0053999999999999986,700,0
40000,800,-3.9913999999995933,50,-0.004000000000000001,800,0
45000,900,-4.488000000000622,50,-0.004200000000000001,900,0
50000,1000,-4.997800000001698,50,-0.0053999999999999986,1000,0
60000,1200,-6.011200000003837,50,-0.0053999999999999986,1200,0
70000,1400,-7.020400000005966,50,-0.0059999999999999975,1400,0
85000,1700,-8.52440000000681,50,-0.0053999999999999986,1700,0
100000,2000,-10.03920000000328,50,-0.0053999999999999986,2000,0
125000,2500,-12.54919999999743,50,-0.004999999999999999,2500,0
150000,3000,-15.042999999991618,50,-0.005599999999999998,3000,0
200000,4000,-20.064199999979916,50,-0.004999999999999999,4000,0
250000,5000,-25.071399999968246,50,-0.005199999999999999,5000,0
300000,6000,-30.08119999995657,50,-0.0048,6000,0
350000,7000,-35.118399999944835,50,-0.0044,7000,0
400000,8000,-40.137999999933136,50,-0.0053999999999999986,8000,0
450000,9000,-45.141799999921474,50,-0.004999999999999999,9000,0
500000,10000,-50.1507999999098,50,-0.005599999999999998,10000,0
