steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-8.0,20,-8.0,2.0
40,2,-2.0,20,6.0,2.0
60,3,2.0,20,4.0,4.0
80,4,2.0,20,0.0,6.0
100,5,0.0,20,-2.0,8.0
120,6,-10.0,20,-10.0,10.0
140,7,-10.0,20,0.0,12.0
160,8,-18.0,20,-8.0,12.0
180,9,-26.0,20,-8.0,12.0
200,10,-18.0,20,8.0,14.0
240,12,-12.0,20,4.0,18.0
280,14,-18.0,20,-4.0,22.0
340,17,-26.0,20,-8.0,28.0
400,20,-24.0,20,8.0,32.0
500,25,-8.0,20,4.0,36.0
600,30,14.0,20,6.0,42.0
800,40,20.0,20,-10.0,50.0
1000,50,20.0,20,2.0,58.0
1200,60,12.0,20,-4.0,70.0
1400,70,-22.0,20,-2.0,84.0
1600,80,-32.0,20,-4.0,94.0
1800,90,-44.0,20,2.0,108.0
2000,100,-46.0,20,6.0,118.0
2400,120,-34.0,20,8.0,136.0
2800,140,-52.0,20,-2.0,160.0
3400,170,-62.0,20,-4.0,192.0
4000,200,-76.0,20,2.0,220.0
5000,250,-124.0,20,-2.0,282.0
6000,300,-104.0,20,-2.0,326.0
8000,400,-84.0,20,-4.0,430.0
10000,500,-54.0,20,2.0,530.0
12000,600,-2.0,20,-4.0,638.0
14000,700,6.0,20,4.0,744.0
16000,800,10.0,20,-8.0,848.0
18000,900,-6.0,20,2.0,954.0
20000,1000,-14.0,20,4.0,1062.0
24000,1200,-30.0,20,-2.0,1258.0
28000,1400,-28.0,20,-4.0,1444.0
34000,1700,80.0,20,6.0,1726.0
40000,2000,116.0,20,-4.0,2006.0
50000,2500,92.0,20,2.0,2532.0
60000,3000,228.0,20,8.0,3026.0
80000,4000,90.0,20,0.0,4060.0
100000,5000,108.0,20,-4.0,5030.0
120000,6000,526.0,20,4.0,5954.0
140000,7000,496.0,20,-10.0,6938.0
160000,8000,640.0,20,0.0,7972.0
180000,9000,724.0,20,2.0,8960.0
200000,10000,758.0,20,-10.0,9972.0
