steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.0,1,1.0,0.0
2,2,1.2,1,0.2,0.8
3,3,1.7,1,0.5,1.3
4,4,2.2,1,0.5,1.8
5,5,3.2,1,1.0,1.8
6,6,3.4000000000000004,1,0.2,2.6
7,7,3.6000000000000005,1,0.2,3.4000000000000004
8,8,4.4,1,0.8,3.6000000000000005
9,9,5.1000000000000005,1,0.7000000000000001,3.9000000000000004
10,10,5.300000000000001,1,0.2,4.7
12,12,6.800000000000001,1,0.5,5.2
14,14,7.500000000000001,1,0.7000000000000001,6.5
17,17,9.700000000000001,1,0.30000000000000004,7.3
20,20,10.700000000000001,1,0.8,9.299999999999999
25,25,12.7,1,0.1,12.3
30,30,14.599999999999998,1,0.1,15.400000000000002
40,40,20.09999999999999,1,0.5,19.90000000000001
50,50,25.39999999999999,1,1.0,24.60000000000001
60,60,29.49999999999999,1,0.0,30.50000000000001
70,70,34.79999999999998,1,0.1,35.20000000000002
80,80,39.999999999999986,1,0.8,40.000000000000014
90,90,44.49999999999998,1,0.30000000000000004,45.50000000000002
100,100,49.99999999999997,1,0.30000000000000004,50.00000000000003
120,120,59.299999999999976,1,0.0,60.700000000000024
140,140,69.39999999999996,1,0.9,70.60000000000004
170,170,87.79999999999994,1,0.4,82.20000000000006
200,200,105.99999999999994,1,0.4,94.00000000000006
250,250,128.89999999999995,1,0.1,121.10000000000004
300,300,153.2999999999999,1,0.7000000000000001,146.70000000000005
400,400,201.79999999999987,1,0.8,198.20000000000007
500,500,251.99999999999991,1,0.9,248.00000000000003
600,600,299.3999999999996,1,0.1,300.6000000000003
700,700,345.2999999999997,1,0.1,354.70000000000016
800,800,399.3999999999999,1,0.2,400.59999999999997
900,900,449.1,1,0.1,450.89999999999986
1000,1000,492.90000000000003,1,0.4,507.09999999999985
1200,1200,681.9999999999997,1,1.0,517.9999999999999
1400,1400,878.6999999999997,1,1.0,521.2999999999998
1700,1700,1173.0,1,1.0,526.9999999999998
2000,2000,1468.6,1,1.0,531.3999999999996
2500,2500,1953.8999999999996,1,1.0,546.0999999999998
3000,3000,2437.1,1,1.0,562.8999999999997
4000,4000,3411.0,1,1.0,588.9999999999998
5000,5000,4388.700000000001,1,1.0,611.2999999999997
6000,6000,5363.899999999999,1,1.0,636.0999999999995
7000,7000,6329.999999999996,1,1.0,669.9999999999993
8000,8000,7301.499999999996,1,1.0,698.4999999999995
9000,9000,8273.299999999997,1,1.0,726.6999999999998
10000,10000,9249.999999999998,1,1.0,749.9999999999998
