steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.006,10,-0.006,1,0
20,2,0.8846613367720995,10,0.8906613367720995,2,0
30,3,0.940884215070852,10,0.05622287829875254,3,0
40,4,0.933884215070852,10,-0.007,4,0
50,5,0.927884215070852,10,-0.006,5,0
60,6,0.9208842150708519,10,-0.007,6,0
70,7,0.9148842150708519,10,-0.006,7,0
80,8,0.9098842150708519,10,-0.005,8,0
90,9,0.9038842150708519,10,-0.006,9,0
100,10,1.6041993594046255,10,0.7003151443337735,10,0
120,12,2.7370983923624794,10,-0.006,12,0
140,14,2.2415762038465545,10,-0.006,14,0
170,17,2.067972400347836,10,0.9644092617567495,17,0
200,20,2.5941820497455192,10,0.5372096493976818,19,0
250,25,2.568182049745522,10,-0.007,24,0
300,30,2.5371820497455255,10,-0.006,28,0
400,40,-2.948978542283825,10,-0.006,38,0
500,50,-0.9810742432856112,10,2.330377792253366,47,0
600,60,-1.6027704292383773,10,1.1192237750255802,57,0
700,70,-4.7618191057220365,10,-0.006,67,0
800,80,-4.811819105722053,10,-0.003,77,0
900,90,-2.7611363595828795,10,-0.006,86,0
1000,100,-2.516028533448391,10,-0.006,95,0
1200,120,-4.227492083022764,10,-0.7228155036663502,115,0
1400,140,-5.529065445521223,10,-0.008,133,0
1700,170,-6.287296502469727,10,-0.005,158,0
2000,200,-11.680398190434504,10,-0.007,181,0
2500,250,-11.12532307271875,10,-0.005,228,0
3000,300,-13.27195826559148,10,-0.006,276,0
4000,400,-21.94798692531249,10,-0.006,370,0
5000,500,-27.336200271211055,10,-0.008,462,0
6000,600,-24.276014420790812,10,-0.007,557,0
7000,700,-24.99543956897476,10,-0.006,647,0
8000,800,-25.754376124530857,10,-0.004,735,0
9000,900,-33.38903874105977,10,-0.005,827,0
10000,1000,-34.2613656114842,10,-0.005,921,0
12000,1200,-33.817127348481606,10,-0.005,1114,0
14000,1400,-27.315065108165545,10,-0.005,1299,0
17000,1700,-29.291791723317804,10,-0.006,1586,0
20000,2000,-23.184639135715642,10,-0.005,1866,0
25000,2500,-20.817835687383877,10,0.7262611974211127,2346,0
30000,3000,-17.24316292868536,10,-0.005,2816,0
40000,4000,-16.049072565382428,10,-0.005,3764,0
50000,5000,-29.28505933237434,10,0.5469134719893424,4692,0
60000,6000,-22.25516231999009,10,-0.007,5642,0
70000,7000,-13.810422173934278,10,-0.005,6594,0
80000,8000,-24.10293767855606,10,-0.005,7549,0
90000,9000,-40.94147925311455,10,-1.626976781607936,8496,0
100000,10000,-63.57954990690942,10,-0.005,9447,0
