steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.1,100,1.1
300,3,3.1,100,1.0
400,4,4.1,100,1.0
500,5,5.1,100,1.0
600,6,6.1,100,1.0
700,7,7.1,100,1.0
800,8,8.1,100,1.0
900,9,9.1,100,1.0
1000,10,10.2,100,1.1
1200,12,12.2,100,1.0
1400,14,14.2,100,1.0
1700,17,17.2,100,1.0
2000,20,20.3,100,1.1
2500,25,25.500000000000004,100,1.0
3000,30,30.600000000000005,100,1.0
4000,40,40.800000000000004,100,1.0
5000,50,50.900000000000006,100,1.0
6000,60,61.00000000000001,100,1.0
7000,70,71.19999999999999,100,1.0
8000,80,81.29999999999998,100,1.0
9000,90,91.39999999999998,100,1.1
10000,100,101.69999999999996,100,1.0
12000,120,121.69999999999996,100,1.0
14000,140,141.69999999999996,100,1.0
17000,170,171.69999999999996,100,1.0
20000,200,201.89999999999995,100,1.0
25000,250,251.89999999999995,100,1.0
30000,300,302.0,100,1.0
40000,400,402.1,100,1.0
50000,500,502.30000000000007,100,1.0
60000,600,602.5000000000001,100,1.0
70000,700,702.7000000000002,100,1.0
80000,800,802.9000000000002,100,1.0
90000,900,903.0000000000002,100,1.0
100000,1000,1003.1000000000003,100,1.0
