steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
41,1,-1.0,41,-1.0,0,2.0
82,2,-2.0,41,-1.0,0,4.0
123,3,-3.0,41,-1.0,0,6.0
164,4,-4.0,41,-1.0,0,8.0
205,5,-3.0,41,1.0,1,8.0
246,6,-2.0,41,1.0,2,8.0
287,7,-1.0,41,1.0,3,8.0
328,8,0.0,41,1.0,4,8.0
369,9,1.0,41,1.0,5,8.0
410,10,0.0,41,-1.0,5,10.0
492,12,0.0,41,-1.0,6,12.0
574,14,0.0,41,1.0,7,14.0
697,17,1.0,41,1.0,9,16.0
820,20,4.0,41,1.0,12,16.0
1025,25,5.0,41,1.0,15,20.0
1230,30,6.0,41,1.0,18,24.0
1640,40,8.0,41,-1.0,24,32.0
2050,50,6.0,41,-1.0,28,44.0
2460,60,8.0,41,1.0,34,52.0
2870,70,10.0,41,1.0,40,60.0
3280,80,6.0,41,-1.0,43,74.0
3690,90,2.0,41,-1.0,46,88.0
4100,100,0.0,41,-1.0,50,100.0
4920,120,-4.0,41,1.0,58,124.0
5740,140,-4.0,41,1.0,68,144.0
6970,170,2.0,41,-1.0,86,168.0
8200,200,0.0,41,-1.0,100,200.0
10250,250,-2.0,41,-1.0,124,252.0
12300,300,6.0,41,1.0,153,294.0
16400,400,24.0,41,-1.0,212,376.0
20500,500,16.0,41,-1.0,258,484.0
24600,600,0.0,41,-1.0,300,600.0
28700,700,32.0,41,1.0,366,668.0
32800,800,26.0,41,-1.0,413,774.0
36900,900,24.0,41,-1.0,462,876.0
41000,1000,44.0,41,-1.0,522,956.0
49200,1200,40.0,41,1.0,620,1160.0
57400,1400,30.0,41,-1.0,715,1370.0
69700,1700,70.0,41,-1.0,885,1630.0
82000,2000,68.0,41,1.0,1034,1932.0
102500,2500,38.0,41,1.0,1269,2462.0
123000,3000,60.0,41,-1.0,1530,2940.0
164000,4000,-8.0,41,-1.0,1996,4008.0
205000,5000,-12.0,41,1.0,2494,5012.0
246000,6000,2.0,41,-1.0,3001,5998.0
287000,7000,-34.0,41,-1.0,3483,7034.0
328000,8000,-90.0,41,1.0,3955,8090.0
369000,9000,-72.0,41,-1.0,4464,9072.0
410000,10000,-62.0,41,1.0,4969,10062.0
