steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.0812548128521049,1,0.0812548128521049,2.0
2,2,-1.555536983663296,1,-1.6367917965154009,4.0
3,3,-1.8490068221310034,1,-0.29346983846770736,6.0
4,4,-2.5275144961000873,1,-0.6785076739690836,6.0
5,5,-2.6539542903885955,1,-0.12643979428850827,8.0
6,6,-3.691336050660124,1,-1.037381760271528,10.0
7,7,-5.4042239556147855,1,-1.712887904954662,12.0
8,8,-6.050940404262285,1,-0.6467164486474988,14.0
9,9,-5.708165638573318,1,0.3427747656889668,16.0
10,10,-6.173166345354942,1,-0.4650007067816241,18.0
12,12,-8.159658119903932,1,-0.9471090442675345,22.0
14,14,-6.898080307842991,1,-0.08441257040528327,24.0
17,17,-14.531095728821851,1,-1.6136962534503136,30.0
20,20,-14.813974696553545,1,-0.012590656136587608,36.0
25,25,-15.067748138991194,1,-0.20598467791379926,44.0
30,30,-18.04864348837759,1,0.24780886755904152,54.0
40,40,-23.659219201095453,1,0.9163405979989541,72.0
50,50,-31.491812650120558,1,-2.107201657769349,90.0
60,60,-42.82668053892158,1,-1.1721704422868875,108.0
70,70,-52.88089661994458,1,-1.0980496353400975,126.0
80,80,-64.50512639588628,1,-3.348331967735378,144.0
90,90,-78.40000621855852,1,-1.3889594641284628,162.0
100,100,-86.13771657084077,1,-0.26246484107190104,180.0
120,120,-96.46978971507357,1,-1.6756482859225657,210.0
140,140,-115.99022637969068,1,-1.2425064886170452,248.0
170,170,-138.04826721873172,1,2.344326796718059,298.0
200,200,-161.35762478494175,1,-1.0746076550469323,356.0
250,250,-205.21905409928974,1,0.292815073296523,444.0
300,300,-235.2683907386395,1,0.7888399046026517,536.0
400,400,-327.78993169191017,1,0.016295681503527337,720.0
500,500,-423.29758512977344,1,-2.4867883045384422,902.0
600,600,-490.98323332523876,1,-1.4735000880091877,1084.0
700,700,-566.1502071889213,1,0.011053032173415467,1262.0
800,800,-649.1273768248325,1,-0.6440265042178721,1446.0
900,900,-731.3300881695869,1,-1.3705558988223812,1618.0
1000,1000,-808.5697383520505,1,-1.1340669738517242,1792.0
1200,1200,-963.791482162652,1,1.2063731237500552,2152.0
1400,1400,-1134.5241408452737,1,-1.1495760480344244,2518.0
1700,1700,-1356.8480198375423,1,-1.470489870610761,3058.0
2000,2000,-1602.7073790239835,1,-0.32022884189766554,3592.0
2500,2500,-1968.4087823307102,1,1.0746368043069583,4472.0
3000,3000,-2373.199630594452,1,2.3315574723797936,5370.0
4000,4000,-3185.359954761921,1,-1.4761735545749075,7170.0
5000,5000,-3995.4661793017676,1,0.6354073754685667,8950.0
6000,6000,-4782.8485161036715,1,0.3855679072453708,10776.0
7000,7000,-5549.215952313959,1,-1.5950002099986338,12580.0
8000,8000,-6290.774119878376,1,-1.1520590831966446,14392.0
9000,9000,-7135.106733207223,1,0.23455912537911794,16224.0
10000,10000,-7963.940409194685,1,-0.5851133066968044,18018.0
