steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.9,1,0.9,0.09999999999999998
2,2,1.3,1,0.4,0.7
3,3,1.9000000000000001,1,0.6000000000000001,1.0999999999999999
4,4,2.5,1,0.6000000000000001,1.4999999999999998
5,5,2.7,1,0.2,2.3
6,6,3.1,1,0.4,2.9
7,7,3.5,1,0.4,3.5
8,8,4.0,1,0.5,4.0
9,9,4.1,1,0.1,4.9
10,10,5.1,1,1.0,4.9
12,12,5.6,1,0.1,6.4
14,14,6.6,1,0.9,7.4
17,17,9.1,1,0.9,7.8999999999999995
20,20,10.7,1,0.5,9.299999999999999
25,25,13.2,1,0.2,11.799999999999999
30,30,14.700000000000001,1,0.30000000000000004,15.299999999999997
40,40,21.799999999999997,1,0.9,18.200000000000003
50,50,26.599999999999994,1,0.1,23.400000000000006
60,60,30.99999999999999,1,0.4,29.00000000000001
70,70,37.0,1,0.2,33.000000000000014
80,80,40.30000000000001,1,0.2,39.7
90,90,45.70000000000002,1,0.7000000000000001,44.3
100,100,50.600000000000016,1,0.0,49.4
120,120,59.7,1,0.5,60.30000000000001
140,140,67.79999999999998,1,0.30000000000000004,72.20000000000003
170,170,82.39999999999999,1,0.7000000000000001,87.60000000000002
200,200,94.50000000000001,1,0.0,105.5
250,250,121.60000000000005,1,1.0,128.39999999999995
300,300,146.6,1,0.0,153.4
400,400,199.60000000000005,1,0.5,200.39999999999995
500,500,251.50000000000003,1,0.1,248.49999999999997
600,600,300.9999999999999,1,0.9,299.0000000000001
700,700,351.1999999999998,1,0.6000000000000001,348.8000000000002
800,800,402.2999999999997,1,0.30000000000000004,397.7000000000003
900,900,459.3999999999997,1,0.9,440.6000000000003
1000,1000,504.29999999999967,1,1.0,495.70000000000033
1200,1200,640.7999999999989,1,1.0,559.2000000000011
1400,1400,835.2999999999982,1,1.0,564.7000000000018
1700,1700,1119.8999999999992,1,1.0,580.1000000000038
2000,2000,1412.0000000000005,1,1.0,588.0000000000043
2500,2500,1892.6000000000008,1,0.0,607.4000000000042
3000,3000,2371.40000000001,1,1.0,628.6000000000065
4000,4000,3296.000000000046,1,1.0,704.0000000000155
5000,5000,4249.000000000044,1,1.0,751.0000000000155
6000,6000,5163.200000000036,1,1.0,836.80000000001
7000,7000,6134.100000000036,1,1.0,865.9000000000096
8000,8000,6933.1000000001195,1,1.0,1066.9000000000178
9000,9000,7906.60000000012,1,1.0,1093.400000000018
10000,10000,8726.000000000195,1,1.0,1274.0000000000157
