steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.12378729841306763,1,0.12378729841306763,0.5
2,2,2.249100715466609,1,2.1253134170535413,0.7999999999999999
3,3,4.022433173626947,1,1.7733324581603376,0.8999999999999999
4,4,3.6950648087470492,1,-0.32736836487989773,1.9
5,5,2.6151257085007584,1,-1.0799391002462908,2.8
6,6,4.901803970496808,1,2.28667826199605,2.8
7,7,4.919262032660929,1,0.017458062164120186,3.5999999999999996
8,8,6.612851952704297,1,1.6935899200433682,4.1
9,9,6.934626650371681,1,0.32177469766738387,4.8999999999999995
10,10,6.112703208576775,1,-0.8219234417949058,5.8999999999999995
12,12,5.064853170379552,1,-1.1006728753353792,7.099999999999999
14,14,4.775005631311452,1,0.9730476211524521,8.499999999999998
17,17,7.56777649767284,1,-0.4333403667457908,9.399999999999999
20,20,10.153443842168027,1,0.5320460571968931,10.399999999999999
25,25,12.30387012501373,1,-0.45385457619353464,12.399999999999999
30,30,10.062955048195779,1,-1.19939001812575,15.0
40,40,16.94140364313586,1,-0.7794425195773664,20.3
50,50,26.80484002684763,1,0.3793274273917727,25.6
60,60,31.698967508138903,1,0.929938371518187,31.3
70,70,35.03124126489054,1,0.7991989686259829,37.7
80,80,41.72452867713546,1,2.8337666658941227,42.600000000000016
90,90,45.71423996501741,1,0.7573981237227989,46.700000000000024
100,100,51.98556102674362,1,1.0944352416531844,53.10000000000003
120,120,64.19826276605775,1,1.7610271059094693,63.00000000000003
140,140,80.01105960207587,1,-0.4509103926963854,72.60000000000001
170,170,88.41190636066534,1,-0.2846229862020201,89.20000000000003
200,200,105.71172172229487,1,-1.3336697988860384,101.80000000000003
250,250,123.46150341266463,1,0.12601779251583067,124.49999999999999
300,300,146.74092573253304,1,-0.08585621079451722,149.09999999999997
400,400,216.42572196215107,1,-0.09222520160547643,191.89999999999986
500,500,264.6317250380205,1,-0.12695146556926085,240.69999999999996
600,600,322.4409335352488,1,-0.1758363866949001,287.8999999999999
700,700,380.058467638406,1,1.373649746286875,336.0999999999999
800,800,428.1056652696673,1,-0.02049517071207063,380.59999999999997
900,900,488.5459338108381,1,-0.2793398935644241,428.39999999999964
1000,1000,538.6353866744026,1,0.6271564350834433,477.7999999999999
1200,1200,725.2494922148684,1,-0.16214812029845727,524.3000000000025
1400,1400,840.9828544270867,1,-1.4733287530504589,603.4000000000033
1700,1700,1027.3788390930838,1,1.289323365429651,729.800000000004
2000,2000,1246.3062349152449,1,0.5652301316668814,798.5000000000052
2500,2500,1620.3228203071137,1,1.4288453136757449,934.4000000000095
3000,3000,1959.502609474258,1,1.7462731847919324,1106.6000000000129
4000,4000,2695.3194118906213,1,0.016696964227835842,1371.9000000000062
5000,5000,3410.290536820013,1,0.4674417080820317,1673.099999999994
6000,6000,4031.380648273527,1,0.7618817354134585,2006.8999999999912
7000,7000,4739.3505917197435,1,1.4424284101675253,2323.59999999996
8000,8000,5408.34527741976,1,-0.5032068539212886,2631.099999999926
9000,9000,6071.679026609104,1,2.0145365309132046,2950.9999999999086
10000,10000,6776.8557621730915,1,0.038566182578221864,3267.099999999907
