steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.00030000000000000003,1,0.00030000000000000003,0.7
2,2,0.0009000000000000001,1,0.0006000000000000001,1.0999999999999999
3,3,0.0016000000000000003,1,0.0007000000000000001,1.4
4,4,0.0019000000000000002,1,0.00030000000000000003,2.0999999999999996
5,5,0.0028000000000000004,1,0.0009000000000000001,2.1999999999999997
6,6,0.0029000000000000002,1,0.0001,3.0999999999999996
7,7,0.0038000000000000004,1,0.0009000000000000001,3.1999999999999997
8,8,0.0047,1,0.0009000000000000001,3.3
9,9,0.0049,1,0.0002,4.1
10,10,0.005,1,0.0001,5.0
12,12,0.0068000000000000005,1,0.001,5.2
14,14,0.0082,1,0.0007000000000000001,5.8
17,17,0.0097,1,0.0002,7.299999999999999
20,20,0.010700000000000001,1,0.0005,9.299999999999999
25,25,0.012700000000000003,1,0.0005,12.299999999999999
30,30,0.014700000000000003,1,0.0001,15.299999999999999
40,40,0.019400000000000004,1,0.00030000000000000003,20.6
50,50,0.022800000000000004,1,0.0,27.2
60,60,0.02730000000000001,1,0.00030000000000000003,32.7
70,70,0.03280000000000002,1,0.0007000000000000001,37.2
80,80,0.03730000000000002,1,0.0009000000000000001,42.699999999999996
90,90,0.04150000000000003,1,0.0005,48.50000000000001
100,100,0.046300000000000036,1,0.0001,53.70000000000001
120,120,0.055400000000000046,1,0.0,64.60000000000001
140,140,0.06480000000000005,1,0.00030000000000000003,75.20000000000003
170,170,0.07870000000000008,1,0.0009000000000000001,91.30000000000003
200,200,0.09640000000000011,1,0.001,103.60000000000002
250,250,0.12230000000000013,1,0.0,127.69999999999999
300,300,0.1461000000000001,1,0.0,153.89999999999995
400,400,0.20040000000000024,1,0.0002,199.5999999999999
500,500,0.24080000000000024,1,0.0001,259.1999999999998
600,600,0.29070000000000024,1,0.001,309.29999999999956
700,700,0.33640000000000053,1,0.0,363.5999999999993
800,800,0.38990000000000063,1,0.0005,410.0999999999995
900,900,0.4442000000000007,1,0.00030000000000000003,455.7999999999996
1000,1000,0.49570000000000075,1,0.001,504.2999999999995
1200,1200,0.595200000000001,1,0.0004,604.7999999999973
1400,1400,0.6897000000000001,1,0.001,710.2999999999972
1700,1700,0.8596999999999964,1,0.0009000000000000001,840.2999999999982
2000,2000,1.0285999999999922,1,0.0002,971.3999999999961
2500,2500,1.3172999999999604,1,0.0002,1182.699999999987
3000,3000,1.629199999999926,1,0.001,1370.7999999999872
4000,4000,2.3611999999998643,1,0.0005,1638.799999999998
5000,5000,3.16549999999989,1,0.001,1834.4999999999754
6000,6000,3.786499999999978,1,0.0007000000000000001,2213.4999999999936
7000,7000,4.327300000000137,1,0.00030000000000000003,2672.7000000000085
8000,8000,4.918000000000354,1,0.001,3081.999999999963
9000,9000,5.670200000000602,1,0.001,3329.79999999996
10000,10000,6.179500000000766,1,0.001,3820.49999999996
