steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
20,1,-0.006000000000000002,20,-0.006000000000000002,1,0
40,2,-0.012000000000000007,20,-0.006000000000000002,2,0
60,3,-0.018000000000000013,20,-0.006000000000000002,3,0
80,4,-0.02450000000000002,20,-0.006500000000000002,4,0
100,5,-0.030000000000000023,20,-0.005500000000000001,5,0
120,6,-0.034500000000000024,20,-0.0045000000000000005,6,0
140,7,-0.03950000000000003,20,-0.005000000000000001,7,0
160,8,-0.04500000000000003,20,-0.005500000000000001,8,0
180,9,-0.05000000000000004,20,-0.005000000000000001,9,0
200,10,-0.05450000000000004,20,-0.0045000000000000005,10,0
240,12,-0.06600000000000004,20,-0.006000000000000002,12,0
280,14,-0.07400000000000005,20,-0.005000000000000001,14,0
340,17,-0.09100000000000007,20,-0.005000000000000001,17,0
400,20,-0.10600000000000008,20,-0.006000000000000002,20,0
500,25,-0.1325000000000001,20,-0.006000000000000002,25,0
600,30,-0.1555000000000001,20,-0.0035,30,0
800,40,-0.20350000000000015,20,-0.0035,40,0
1000,50,-0.25350000000000017,20,-0.006500000000000002,50,0
1200,60,-0.3050000000000002,20,-0.0045000000000000005,60,0
1400,70,-0.35750000000000026,20,-0.005000000000000001,70,0
1600,80,-0.4090000000000003,20,-0.004,80,0
1800,90,-0.45900000000000035,20,-0.006500000000000002,90,0
2000,100,-0.5094999999999993,20,-0.006500000000000002,100,0
2400,120,-0.6099999999999882,20,-0.006000000000000002,120,0
2800,140,-0.7134999999999768,20,-0.0045000000000000005,140,0
3400,170,-0.8634999999999603,20,-0.0045000000000000005,170,0
4000,200,-1.0044999999999449,20,-0.005500000000000001,200,0
5000,250,-1.2644999999999162,20,-0.0045000000000000005,250,0
6000,300,-1.5274999999998873,20,-0.006000000000000002,300,0
8000,400,-2.0274999999998444,20,-0.004,400,0
10000,500,-2.5240000000000102,20,-0.005500000000000001,500,0
12000,600,-3.026000000000178,20,-0.006500000000000002,600,0
14000,700,-3.5375000000003487,20,-0.0035,700,0
16000,800,-4.035500000000483,20,-0.0045000000000000005,800,0
18000,900,-4.565500000000189,20,-0.006500000000000002,900,0
20000,1000,-5.0829999999999025,20,-0.005500000000000001,1000,0
24000,1200,-6.126499999999324,20,-0.004,1200,0
28000,1400,-7.173499999998744,20,-0.006500000000000002,1400,0
34000,1700,-8.733499999999182,20,-0.005500000000000001,1700,0
40000,2000,-10.293000000001088,20,-0.005000000000000001,2000,0
50000,2500,-12.882000000004252,20,-0.005000000000000001,2500,0
60000,3000,-15.501000000007453,20,-0.006000000000000002,3000,0
80000,4000,-20.76799999999695,20,-0.005500000000000001,4000,0
100000,5000,-26.05399999998463,20,-0.005500000000000001,5000,0
120000,6000,-31.410499999972146,20,-0.005500000000000001,6000,0
140000,7000,-36.7184999999933,20,-0.004,7000,0
160000,8000,-42.04000000001871,20,-0.005500000000000001,8000,0
180000,9000,-47.35350000004408,20,-0.0035,9000,0
200000,10000,-52.70250000006962,20,-0.006000000000000002,10000,0
