steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
50,1,-0.005199999999999999,50,-0.005199999999999999,1,0
100,2,-0.010600000000000002,50,-0.0053999999999999986,2,0
150,3,-0.014800000000000013,50,-0.004200000000000001,3,0
200,4,-0.02019999999999999,50,-0.0053999999999999986,4,0
250,5,-0.025399999999999957,50,-0.005199999999999999,5,0
300,6,0.3028357722588294,50,0.32823577225882933,6,0
350,7,0.29703577225883004,50,-0.005799999999999998,7,0
400,8,0.2920357722588306,50,-0.004999999999999999,8,0
450,9,0.2876357722588311,50,-0.0044,9,0
500,10,0.28263577225883163,50,-0.004999999999999999,10,0
600,12,0.2718357722588328,50,-0.0053999999999999986,12,0
700,14,0.261035772258834,50,-0.005599999999999998,14,0
850,17,0.2462357722588351,50,-0.0044,17,0
1000,20,0.23123577225883468,50,-0.0048,20,0
1250,25,1.279174855926387,50,-0.004000000000000001,25,0
1500,30,0.5372845041409814,50,-0.004999999999999999,29,0
2000,40,-0.32377444410974465,50,-0.0048,39,0
2500,50,-1.8872878142586014,50,-0.005799999999999998,49,0
3000,60,-1.9380878142585958,50,-0.005799999999999998,58,0
3500,70,-0.7756697231026053,50,-0.005799999999999998,68,0
4000,80,-1.5898582926583442,50,-0.004999999999999999,78,0
4500,90,-1.6416582926583385,50,-0.0046,88,0
5000,100,-0.5536112364395203,50,-0.005799999999999998,98,0
6000,120,-2.5155418858796366,50,-0.005199999999999999,118,0
7000,140,-1.4573552983056557,50,-0.0053999999999999986,136,0
8500,170,-2.9235359017624862,50,-0.0046,166,0
10000,200,-2.7932515966812597,50,-0.0048,196,0
12500,250,-1.022749321864783,50,1.1096213762120315,245,0
15000,300,0.4594083519854284,50,-0.004999999999999999,293,0
20000,400,0.2835439930469432,50,1.3178316746834267,393,0
25000,500,8.121136284667266,50,-0.0046,490,0
30000,600,11.997074591574856,50,-0.005199999999999999,587,0
35000,700,8.214805995935613,50,-0.005599999999999998,683,0
40000,800,7.750827223359502,50,-0.0048,781,0
45000,900,10.463314568418804,50,-0.004999999999999999,881,0
50000,1000,6.26216205083873,50,-0.0048,978,0
60000,1200,5.9365159261599585,50,-0.005599999999999998,1176,0
70000,1400,-2.2733162672635134,50,-0.0044,1372,0
85000,1700,-8.625180877327725,50,-0.005799999999999998,1668,0
100000,2000,-17.78318483177112,50,-0.36801168233483117,1965,0
125000,2500,3.734293920030763,50,-0.005599999999999998,2460,0
150000,3000,-11.185274910635767,50,-0.004999999999999999,2954,0
200000,4000,-14.773480524015389,50,-0.0048,3943,0
250000,5000,-23.705842588500737,50,-0.0053999999999999986,4931,0
300000,6000,-23.8499268002549,50,-0.0046,5917,0
350000,7000,-40.542845837086766,50,-0.0048,6907,0
400000,8000,-50.16604108440019,50,-0.005199999999999999,7893,0
450000,9000,-50.350506272199716,50,-0.0059999999999999975,8879,0
500000,10000,-58.024929626690614,50,-0.0038000000000000013,9874,0
