steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.0,100,1.0
400,4,4.0,100,1.0
500,5,5.1,100,1.1
600,6,6.1,100,1.0
700,7,7.1,100,1.0
800,8,8.1,100,1.0
900,9,9.1,100,1.0
1000,10,10.1,100,1.0
1200,12,12.1,100,1.0
1400,14,14.2,100,1.1
1700,17,17.2,100,1.0
2000,20,20.2,100,1.0
2500,25,25.3,100,1.0
3000,30,30.3,100,1.0
4000,40,40.6,100,1.0
5000,50,50.7,100,1.0
6000,60,60.800000000000004,100,1.0
7000,70,71.1,100,1.0
8000,80,81.29999999999998,100,1.1
9000,90,91.49999999999997,100,1.1
10000,100,101.69999999999996,100,1.0
12000,120,122.09999999999994,100,1.0
14000,140,142.7999999999999,100,1.1
17000,170,173.19999999999987,100,1.0
20000,200,203.79999999999984,100,1.1
25000,250,254.5999999999998,100,1.0
30000,300,305.4,100,1.0
40000,400,407.3000000000004,100,1.0
50000,500,508.80000000000075,100,1.0
60000,600,610.7000000000012,100,1.0
70000,700,712.6000000000016,100,1.0
80000,800,814.300000000002,100,1.0
90000,900,916.4000000000025,100,1.0
100000,1000,1018.2000000000029,100,1.1
