steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
7,1,-1.0,7,-1.0,0,2.0
14,2,0.0,7,1.0,1,2.0
21,3,-1.0,7,-1.0,1,4.0
28,4,-2.0,7,-1.0,1,6.0
35,5,-3.0,7,-1.0,1,8.0
42,6,-4.0,7,-1.0,1,10.0
49,7,-5.0,7,-1.0,1,12.0
56,8,-6.0,7,-1.0,1,14.0
63,9,-7.0,7,-1.0,1,16.0
70,10,-6.0,7,1.0,2,16.0
84,12,-6.0,7,1.0,3,18.0
98,14,-6.0,7,-1.0,4,20.0
119,17,-9.0,7,-1.0,4,26.0
140,20,-8.0,7,1.0,6,28.0
175,25,-9.0,7,1.0,8,34.0
210,30,-8.0,7,1.0,11,38.0
280,40,-12.0,7,-1.0,14,52.0
350,50,-10.0,7,-1.0,20,60.0
420,60,-6.0,7,1.0,27,66.0
490,70,-6.0,7,1.0,32,76.0
560,80,-2.0,7,1.0,39,82.0
630,90,-2.0,7,1.0,44,92.0
700,100,-2.0,7,-1.0,49,102.0
840,120,6.0,7,1.0,63,114.0
980,140,2.0,7,-1.0,71,138.0
1190,170,2.0,7,-1.0,86,168.0
1400,200,-6.0,7,-1.0,97,206.0
1750,250,-8.0,7,1.0,121,258.0
2100,300,-14.0,7,-1.0,143,314.0
2800,400,-26.0,7,-1.0,187,426.0
3500,500,-18.0,7,1.0,241,518.0
4200,600,-10.0,7,-1.0,295,610.0
4900,700,-8.0,7,1.0,346,708.0
5600,800,-8.0,7,1.0,396,808.0
6300,900,-8.0,7,1.0,446,908.0
7000,1000,-18.0,7,-1.0,491,1018.0
8400,1200,-10.0,7,-1.0,595,1210.0
9800,1400,-16.0,7,-1.0,692,1416.0
11900,1700,-12.0,7,-1.0,844,1712.0
14000,2000,-38.0,7,1.0,981,2038.0
17500,2500,-26.0,7,-1.0,1237,2526.0
21000,3000,-58.0,7,1.0,1471,3058.0
28000,4000,-42.0,7,1.0,1979,4042.0
35000,5000,-30.0,7,-1.0,2485,5030.0
42000,6000,-50.0,7,-1.0,2975,6050.0
49000,7000,-32.0,7,-1.0,3484,7032.0
56000,8000,-64.0,7,-1.0,3968,8064.0
63000,9000,-18.0,7,-1.0,4491,9018.0
70000,10000,-48.0,7,-1.0,4976,10048.0
