steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,2.0,3,1.0,2,0.0
9,3,1.0,3,-1.0,2,2.0
12,4,0.0,3,-1.0,2,4.0
15,5,-1.0,3,-1.0,2,6.0
18,6,0.0,3,1.0,3,6.0
21,7,1.0,3,1.0,4,6.0
24,8,2.0,3,1.0,5,6.0
27,9,3.0,3,1.0,6,6.0
30,10,2.0,3,-1.0,6,8.0
36,12,2.0,3,-1.0,7,10.0
42,14,4.0,3,1.0,9,10.0
51,17,3.0,3,-1.0,10,14.0
60,20,4.0,3,-1.0,12,16.0
75,25,3.0,3,1.0,14,22.0
90,30,6.0,3,1.0,18,24.0
120,40,6.0,3,-1.0,23,34.0
150,50,6.0,3,1.0,28,44.0
180,60,10.0,3,1.0,35,50.0
210,70,12.0,3,1.0,41,58.0
240,80,16.0,3,-1.0,48,64.0
270,90,22.0,3,1.0,56,68.0
300,100,22.0,3,-1.0,61,78.0
360,120,26.0,3,1.0,73,94.0
420,140,26.0,3,-1.0,83,114.0
510,170,20.0,3,1.0,95,150.0
600,200,26.0,3,-1.0,113,174.0
750,250,30.0,3,1.0,140,220.0
900,300,38.0,3,1.0,169,262.0
1200,400,40.0,3,1.0,220,360.0
1500,500,52.0,3,-1.0,276,448.0
1800,600,40.0,3,1.0,320,560.0
2100,700,38.0,3,1.0,369,662.0
2400,800,32.0,3,1.0,416,768.0
2700,900,44.0,3,-1.0,472,856.0
3000,1000,50.0,3,-1.0,525,950.0
3600,1200,40.0,3,1.0,620,1160.0
4200,1400,68.0,3,1.0,734,1332.0
5100,1700,46.0,3,1.0,873,1654.0
6000,2000,54.0,3,1.0,1027,1946.0
7500,2500,20.0,3,-1.0,1260,2480.0
9000,3000,4.0,3,-1.0,1502,2996.0
12000,4000,-28.0,3,-1.0,1986,4028.0
15000,5000,26.0,3,-1.0,2513,4974.0
18000,6000,32.0,3,1.0,3016,5968.0
21000,7000,62.0,3,-1.0,3531,6938.0
24000,8000,66.0,3,-1.0,4033,7934.0
27000,9000,90.0,3,-1.0,4545,8910.0
30000,10000,114.0,3,1.0,5057,9886.0
