steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-1.0,1,1.0,4.0
4,4,-2.0,1,-1.0,6.0
5,5,-3.0,1,-1.0,8.0
6,6,-4.0,1,-1.0,10.0
7,7,-5.0,1,-1.0,12.0
8,8,-6.0,1,-1.0,14.0
9,9,-7.0,1,-1.0,16.0
10,10,-8.0,1,-1.0,18.0
12,12,-10.0,1,-1.0,22.0
14,14,-12.0,1,-1.0,26.0
17,17,-15.0,1,-1.0,32.0
20,20,-18.0,1,-1.0,38.0
25,25,-23.0,1,-1.0,48.0
30,30,-28.0,1,-1.0,58.0
40,40,-36.0,1,-1.0,76.0
50,50,-44.0,1,-1.0,94.0
60,60,-50.0,1,-1.0,110.0
70,70,-58.0,1,-1.0,128.0
80,80,-66.0,1,-1.0,146.0
90,90,-76.0,1,-1.0,166.0
100,100,-84.0,1,-1.0,184.0
120,120,-102.0,1,-1.0,222.0
140,140,-122.0,1,-1.0,262.0
170,170,-150.0,1,-1.0,320.0
200,200,-172.0,1,-1.0,372.0
250,250,-214.0,1,-1.0,464.0
300,300,-258.0,1,-1.0,558.0
400,400,-340.0,1,1.0,740.0
500,500,-420.0,1,-1.0,920.0
600,600,-508.0,1,-1.0,1108.0
700,700,-576.0,1,-1.0,1276.0
800,800,-664.0,1,-1.0,1464.0
900,900,-756.0,1,-1.0,1656.0
1000,1000,-834.0,1,-1.0,1834.0
1200,1200,-1000.0,1,-1.0,2200.0
1400,1400,-1164.0,1,1.0,2564.0
1700,1700,-1408.0,1,-1.0,3108.0
2000,2000,-1646.0,1,-1.0,3646.0
2500,2500,-2024.0,1,-1.0,4524.0
3000,3000,-2424.0,1,1.0,5424.0
4000,4000,-3222.0,1,-1.0,7222.0
5000,5000,-4008.0,1,-1.0,9008.0
6000,6000,-4808.0,1,-1.0,10808.0
7000,7000,-5630.0,1,-1.0,12630.0
8000,8000,-6402.0,1,-1.0,14402.0
9000,9000,-7204.0,1,-1.0,16204.0
10000,10000,-7992.0,1,-1.0,17992.0
