steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-8.513774907996549,1,-8.513774907996549,2.0
2,2,-11.383082326215028,1,-2.8693074182184795,4.0
3,3,-28.22264381833855,1,-16.839561492123522,6.0
4,4,-18.891295750712818,1,9.331348067625733,8.0
5,5,-21.9398929798407,1,-3.0485972291278816,10.0
6,6,-40.78555461999774,1,-18.845661640157044,12.0
7,7,-47.34399637906113,1,-6.558441759063392,14.0
8,8,-58.136844893650455,1,-10.792848514589325,16.0
9,9,-48.55993567631514,1,9.576909217335311,18.0
10,10,-27.819380948776967,1,20.740554727538175,18.0
12,12,-38.14336590817895,1,-11.097463575090035,22.0
14,14,-36.96754278583924,1,-5.600808979939275,26.0
17,17,-57.402342456088874,1,-7.839464082540837,32.0
20,20,-58.35953029913496,1,14.587534006711067,36.0
25,25,-67.2413641300329,1,9.18800256696623,46.0
30,30,-71.84801320134873,1,3.8318548707116173,56.0
40,40,-31.29608474550797,1,16.096755041213015,72.0
50,50,-25.76503951981016,1,11.9658272624973,92.0
60,60,-37.248401433186444,1,-9.279172016614552,108.0
70,70,-122.2276270605943,1,-7.478819616821935,128.0
80,80,-114.57748747176333,1,3.3732975529164335,144.0
90,90,-143.9349957520821,1,-11.551136487154862,164.0
100,100,-122.0939083790515,1,3.7965369625601175,182.0
120,120,-111.85786035523167,1,-0.8627954229789626,218.0
140,140,-68.3549907523266,1,4.559663992455636,252.0
170,170,-101.6037338499293,1,22.428215151222037,304.0
200,200,-250.64883826574683,1,3.5788437840918936,356.0
250,250,-269.63209527639157,1,21.02490253405734,442.0
300,300,-232.79737593452415,1,20.447076543675948,526.0
400,400,-275.64452917620844,1,-16.372723741310416,706.0
500,500,-427.6879740840055,1,4.973817488899498,872.0
600,600,-695.1562664185273,1,-11.778894237655967,1048.0
700,700,-812.041462166563,1,-5.41943819646134,1236.0
800,800,-886.8929764503986,1,14.909715651369076,1414.0
900,900,-961.2383789250107,1,21.00277880480027,1596.0
1000,1000,-1130.8465055636239,1,-2.221816235128618,1788.0
1200,1200,-1456.9784363198273,1,2.92619095401108,2132.0
1400,1400,-1536.8503265892577,1,-5.605664408803591,2496.0
1700,1700,-1889.4974669698981,1,-10.545304452431282,3022.0
2000,2000,-1820.464721222195,1,-8.280925093695535,3548.0
2500,2500,-2068.2738883575594,1,4.049439204536739,4446.0
3000,3000,-2783.0483504825784,1,8.77553108171649,5374.0
4000,4000,-2980.7409782443087,1,0.06642213653324913,7204.0
5000,5000,-3759.1364634105403,1,1.281634816157207,8986.0
6000,6000,-4328.860240755882,1,-9.202073473614359,10796.0
7000,7000,-4739.692329294936,1,-6.101195324463651,12572.0
8000,8000,-5037.401447274591,1,-2.398387630585601,14330.0
9000,9000,-5669.214330882316,1,8.545919461665415,16144.0
10000,10000,-6008.1269752010785,1,8.154537011026013,17922.0
