steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-30.0,1,-30.0,2.0
2,2,-60.0,1,-30.0,4.0
3,3,-90.0,1,-30.0,6.0
4,4,-120.0,1,-30.0,8.0
5,5,-150.0,1,-30.0,10.0
6,6,-180.0,1,-30.0,12.0
7,7,-210.0,1,-30.0,14.0
8,8,-240.0,1,-30.0,16.0
9,9,-270.0,1,-30.0,18.0
10,10,-300.0,1,-30.0,20.0
12,12,-360.0,1,-30.0,24.0
14,14,-420.0,1,-30.0,28.0
17,17,-510.0,1,-30.0,34.0
20,20,-540.0,1,-30.0,38.0
25,25,-690.0,1,-30.0,48.0
30,30,-840.0,1,-30.0,58.0
40,40,-1080.0,1,-30.0,76.0
50,50,-1320.0,1,-30.0,94.0
60,60,-1560.0,1,-30.0,112.0
70,70,-1860.0,1,-30.0,132.0
80,80,-2160.0,1,-30.0,152.0
90,90,-2400.0,1,-30.0,170.0
100,100,-2580.0,1,-30.0,186.0
120,120,-3120.0,1,-30.0,224.0
140,140,-3660.0,1,-30.0,262.0
170,170,-4380.0,1,-30.0,316.0
200,200,-5220.0,1,-30.0,374.0
250,250,-6480.0,1,-30.0,466.0
300,300,-7380.0,1,-30.0,546.0
400,400,-10020.0,1,-30.0,734.0
500,500,-12360.0,1,-30.0,912.0
600,600,-14760.0,1,-30.0,1092.0
700,700,-17160.0,1,30.0,1272.0
800,800,-19560.0,1,-30.0,1452.0
900,900,-22020.0,1,-30.0,1634.0
1000,1000,-24720.0,1,-30.0,1824.0
1200,1200,-29220.0,1,-30.0,2174.0
1400,1400,-33900.0,1,-30.0,2530.0
1700,1700,-40920.0,1,-30.0,3064.0
2000,2000,-48780.0,1,-30.0,3626.0
2500,2500,-60120.0,1,-30.0,4504.0
3000,3000,-72060.0,1,-30.0,5402.0
4000,4000,-95820.0,1,-30.0,7194.0
5000,5000,-119280.0,1,-30.0,8976.0
6000,6000,-143160.0,1,-30.0,10772.0
7000,7000,-167160.0,1,-30.0,12572.0
8000,8000,-191040.0,1,-30.0,14368.0
9000,9000,-214380.0,1,-30.0,16146.0
10000,10000,-238200.0,1,-30.0,17940.0
