steps,episode,total_return,episode_len,episode_return,total_regret
20,1,0.0,20,0.0,0.0
40,2,-6.0,20,-6.0,0.0
60,3,-6.0,20,0.0,0.0
80,4,-12.0,20,-6.0,2.0
100,5,-10.0,20,2.0,4.0
120,6,-16.0,20,-6.0,6.0
140,7,-20.0,20,-4.0,6.0
160,8,-18.0,20,2.0,8.0
180,9,-14.0,20,4.0,8.0
200,10,-14.0,20,0.0,8.0
240,12,-16.0,20,2.0,12.0
280,14,-20.0,20,-4.0,12.0
340,17,-14.0,20,2.0,14.0
400,20,-24.0,20,-2.0,16.0
500,25,-32.0,20,2.0,24.0
600,30,-36.0,20,0.0,28.0
800,40,-26.0,20,-2.0,40.0
1000,50,-28.0,20,-2.0,50.0
1200,60,-34.0,20,2.0,60.0
1400,70,0.0,20,-2.0,62.0
1600,80,-2.0,20,2.0,72.0
1800,90,-2.0,20,2.0,84.0
2000,100,22.0,20,6.0,96.0
2400,120,26.0,20,-2.0,120.0
2800,140,40.0,20,4.0,136.0
3400,170,44.0,20,2.0,168.0
4000,200,12.0,20,-6.0,196.0
5000,250,54.0,20,2.0,240.0
6000,300,42.0,20,2.0,292.0
8000,400,114.0,20,0.0,378.0
10000,500,86.0,20,-2.0,480.0
12000,600,122.0,20,2.0,578.0
14000,700,146.0,20,6.0,684.0
16000,800,182.0,20,6.0,802.0
18000,900,172.0,20,-6.0,894.0
20000,1000,186.0,20,-4.0,984.0
24000,1200,124.0,20,2.0,1158.0
28000,1400,182.0,20,-2.0,1348.0
34000,1700,278.0,20,0.0,1658.0
40000,2000,286.0,20,0.0,1906.0
50000,2500,314.0,20,2.0,2428.0
60000,3000,36.0,20,-4.0,2918.0
80000,4000,-44.0,20,4.0,3894.0
100000,5000,206.0,20,12.0,4900.0
120000,6000,162.0,20,-2.0,5934.0
140000,7000,120.0,20,2.0,6988.0
160000,8000,-6.0,20,0.0,8016.0
180000,9000,156.0,20,0.0,9002.0
200000,10000,-140.0,20,0.0,10072.0
