steps,episode,total_return,episode_len,episode_return,total_regret
100,1,-20.0,100,-20.0,0.0
200,2,-16.0,100,4.0,2.0
300,3,-28.0,100,-12.0,2.0
400,4,-40.0,100,-12.0,4.0
500,5,-30.0,100,10.0,4.0
600,6,-42.0,100,-12.0,4.0
700,7,-42.0,100,0.0,6.0
800,8,-38.0,100,4.0,8.0
900,9,-34.0,100,4.0,10.0
1000,10,-38.0,100,-4.0,12.0
1200,12,-46.0,100,6.0,14.0
1400,14,-60.0,100,-12.0,14.0
1700,17,-74.0,100,4.0,18.0
2000,20,-70.0,100,10.0,20.0
2500,25,-122.0,100,-10.0,24.0
3000,30,-142.0,100,-8.0,26.0
4000,40,-128.0,100,-12.0,28.0
5000,50,-130.0,100,6.0,46.0
6000,60,-110.0,100,10.0,58.0
7000,70,-118.0,100,-2.0,62.0
8000,80,-96.0,100,12.0,68.0
9000,90,-64.0,100,-8.0,84.0
10000,100,-112.0,100,-10.0,96.0
12000,120,-68.0,100,0.0,116.0
14000,140,-80.0,100,10.0,128.0
17000,170,-128.0,100,-4.0,158.0
20000,200,-50.0,100,-2.0,184.0
25000,250,-104.0,100,-12.0,228.0
30000,300,-226.0,100,2.0,286.0
40000,400,-348.0,100,-4.0,392.0
50000,500,-592.0,100,-10.0,498.0
60000,600,-670.0,100,0.0,602.0
70000,700,-518.0,100,4.0,714.0
80000,800,-434.0,100,-10.0,786.0
90000,900,-448.0,100,4.0,894.0
100000,1000,-400.0,100,2.0,1002.0
120000,1200,-508.0,100,0.0,1220.0
140000,1400,-624.0,100,4.0,1408.0
170000,1700,-606.0,100,12.0,1702.0
200000,2000,-710.0,100,6.0,2004.0
250000,2500,-602.0,100,-6.0,2492.0
300000,3000,-438.0,100,2.0,2962.0
400000,4000,-86.0,100,8.0,3930.0
500000,5000,-286.0,100,0.0,4946.0
600000,6000,-340.0,100,-4.0,5918.0
700000,7000,-350.0,100,2.0,6902.0
800000,8000,-506.0,100,-6.0,7866.0
900000,9000,-1026.0,100,-6.0,8862.0
1000000,10000,-1038.0,100,-20.0,9856.0
