steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.0,1,0.0,1.0
2,2,0.027,1,0.027,1.1
3,3,0.056999999999999995,1,0.03,1.1
4,4,0.06899999999999999,1,0.012,1.7000000000000002
5,5,0.093,1,0.024,1.9000000000000001
6,6,0.111,1,0.018000000000000002,2.3
7,7,0.135,1,0.024,2.5
8,8,0.156,1,0.021,2.8
9,9,0.159,1,0.003,3.6999999999999997
10,10,0.186,1,0.027,3.8
12,12,0.216,1,0.009000000000000001,4.8
14,14,0.264,1,0.03,5.199999999999999
17,17,0.31500000000000006,1,0.021,6.499999999999999
20,20,0.3600000000000001,1,0.015,7.999999999999998
25,25,0.40800000000000014,1,0.018000000000000002,11.399999999999999
30,30,0.4680000000000002,1,0.027,14.4
40,40,0.6270000000000003,1,0.015,19.099999999999994
50,50,0.8190000000000005,1,0.03,22.699999999999996
60,60,0.9720000000000006,1,0.018000000000000002,27.599999999999998
70,70,1.1400000000000006,1,0.027,31.999999999999996
80,80,1.3260000000000005,1,0.024,35.800000000000004
90,90,1.497,1,0.018000000000000002,40.1
100,100,1.6589999999999998,1,0.003,44.70000000000001
120,120,1.9589999999999996,1,0.024,54.70000000000002
140,140,2.235,1,0.012,65.5
170,170,2.7269999999999994,1,0.027,79.09999999999998
200,200,3.1769999999999987,1,0.015,94.09999999999997
250,250,4.046999999999998,1,0.006,115.09999999999998
300,300,4.871999999999995,1,0.021,137.59999999999994
400,400,6.314999999999997,1,0.018000000000000002,189.49999999999986
500,500,7.661999999999998,1,0.015,244.59999999999988
600,600,9.159000000000008,1,0.018000000000000002,294.69999999999965
700,700,10.503000000000016,1,0.021,349.8999999999998
800,800,11.976000000000024,1,0.018000000000000002,400.7999999999996
900,900,13.50300000000003,1,0.018000000000000002,449.89999999999975
1000,1000,15.120000000000035,1,0.006,495.99999999999994
1200,1200,19.317000000000192,1,0.021,556.0999999999943
1400,1400,23.421000000000348,1,0.021,619.2999999999855
1700,1700,29.55900000000058,1,0.021,714.6999999999725
2000,2000,35.80800000000082,1,0.021,806.3999999999594
2500,2500,46.13700000000121,1,0.021,962.0999999999376
3000,3000,54.756000000001535,1,0.024,1174.7999999999217
4000,4000,76.88100000000237,1,0.024,1437.2999999999454
5000,5000,100.43400000000327,1,0.027,1652.1999999999853
6000,6000,126.74700000000426,1,0.027,1775.0999999999017
7000,7000,153.04499999999223,1,0.027,1898.4999999998163
8000,8000,179.5649999999794,1,0.027,2014.49999999973
9000,9000,205.94699999996652,1,0.027,2135.099999999644
10000,10000,232.16099999995382,1,0.027,2261.2999999995577
