steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
20,1,-0.007000000000000003,20,-0.007000000000000003,1,0
40,2,-0.012000000000000007,20,-0.005000000000000001,2,0
60,3,-0.01700000000000001,20,-0.005000000000000001,3,0
80,4,-0.021500000000000016,20,-0.0045000000000000005,4,0
100,5,-0.02750000000000002,20,-0.006000000000000002,5,0
120,6,-0.03250000000000002,20,-0.005000000000000001,6,0
140,7,-0.037500000000000026,20,-0.005000000000000001,7,0
160,8,-0.04300000000000003,20,-0.005500000000000001,8,0
180,9,-0.048000000000000036,20,-0.005000000000000001,9,0
200,10,-0.05200000000000004,20,-0.004,10,0
240,12,-0.058500000000000045,20,-0.003,12,0
280,14,-0.06800000000000005,20,-0.004,14,0
340,17,-0.08350000000000006,20,-0.005500000000000001,17,0
400,20,-0.10200000000000008,20,-0.007500000000000003,20,0
500,25,-0.1285000000000001,20,-0.004,25,0
600,30,-0.1515000000000001,20,-0.005500000000000001,30,0
800,40,-0.20550000000000015,20,-0.005000000000000001,40,0
1000,50,-0.25100000000000017,20,-0.005500000000000001,50,0
1200,60,-0.3020000000000002,20,-0.0045000000000000005,60,0
1400,70,-0.35800000000000026,20,-0.005000000000000001,70,0
1600,80,-0.4050000000000003,20,-0.005500000000000001,80,0
1800,90,-0.45550000000000035,20,-0.0045000000000000005,90,0
2000,100,-0.5079999999999995,20,-0.0035,100,0
2400,120,-0.6064999999999886,20,-0.0035,120,0
2800,140,-0.7184999999999763,20,-0.006500000000000002,140,0
3400,170,-0.8679999999999598,20,-0.0045000000000000005,170,0
4000,200,-1.0149999999999437,20,-0.0045000000000000005,200,0
5000,250,-1.266999999999916,20,-0.0045000000000000005,250,0
6000,300,-1.5094999999998893,20,-0.005500000000000001,300,0
8000,400,-1.9759999999998379,20,-0.007000000000000003,400,0
10000,500,-2.4439999999999835,20,-0.008000000000000004,500,0
12000,600,-2.9200000000001425,20,-0.002,600,0
14000,700,-3.3925000000003003,20,-0.005500000000000001,700,0
16000,800,-3.8840000000004644,20,-0.006000000000000002,800,0
18000,900,-4.391500000000286,20,-0.0045000000000000005,900,0
20000,1000,-4.922999999999991,20,-0.005500000000000001,1000,0
24000,1200,-5.926999999999435,20,-0.005000000000000001,1200,0
28000,1400,-6.872499999998911,20,-0.0035,1400,0
34000,1700,-8.212999999998546,20,-0.0045000000000000005,1700,0
40000,2000,-9.62350000000027,20,-0.0045000000000000005,2000,0
50000,2500,-11.40700000000245,20,-0.0035,2500,0
60000,3000,-13.291500000004753,20,-0.0035,3000,0
80000,4000,-16.808500000006177,20,-0.004,4000,0
100000,5000,-20.929499999996573,20,-0.0045000000000000005,5000,0
120000,6000,-24.43249999998841,20,-0.0045000000000000005,6000,0
140000,7000,-27.553499999981135,20,-0.005000000000000001,7000,0
160000,8000,-32.05699999997104,20,-0.0045000000000000005,8000,0
180000,9000,-35.349999999986764,20,-0.004,9000,0
200000,10000,-38.66250000000258,20,-0.0025,10000,0
