steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
20,1,-0.004,20,-0.004,1,0
40,2,-0.04603188479127644,20,-0.04203188479127644,2,0
60,3,-0.05203188479127645,20,-0.006000000000000002,3,0
80,4,-0.05753188479127645,20,-0.005500000000000001,4,0
100,5,-0.06253188479127646,20,-0.005000000000000001,5,0
120,6,1.1095387771421192,20,1.1720706619333958,6,0
140,7,1.1055387771421197,20,-0.004,7,0
160,8,1.10303877714212,20,-0.0025,8,0
180,9,1.0990387771421204,20,-0.004,9,0
200,10,1.094038777142121,20,-0.005000000000000001,10,0
240,12,1.5962082104791433,20,0.5076694333370214,12,0
280,14,1.3379467145117478,20,-0.004,14,0
340,17,2.568461898398125,20,-0.005000000000000001,17,0
400,20,2.550961898398119,20,-0.005000000000000001,20,0
500,25,2.7836351439548337,20,-0.005500000000000001,25,0
600,30,2.9465106926436126,20,-0.006000000000000002,29,0
800,40,2.893010692643595,20,-0.004,37,0
1000,50,2.3073856916127795,20,-0.007000000000000003,47,0
1200,60,3.0717171209898972,20,-0.006000000000000002,57,0
1400,70,3.222465679809163,20,-0.006500000000000002,67,0
1600,80,3.008067134069498,20,-0.005000000000000001,74,0
1800,90,2.8538865535265443,20,-0.005500000000000001,83,0
2000,100,3.4598322851177197,20,-0.005500000000000001,92,0
2400,120,1.7889576541082313,20,-0.005500000000000001,111,0
2800,140,-0.1716467154908763,20,-0.005500000000000001,131,0
3400,170,-2.0441805193628637,20,-0.005500000000000001,161,0
4000,200,-2.816040658177985,20,-0.004,188,0
5000,250,-9.52019553033004,20,-0.006500000000000002,238,0
6000,300,-14.645419842426392,20,-0.006000000000000002,288,0
8000,400,-13.521148850607128,20,-0.005500000000000001,386,0
10000,500,-12.087496543499826,20,-0.005000000000000001,483,0
12000,600,-12.840586395927737,20,-0.005500000000000001,581,0
14000,700,-6.427871130066556,20,-0.0045000000000000005,678,0
16000,800,-9.070558065409484,20,-0.05690334564935513,773,0
18000,900,-11.298465675613292,20,-0.005500000000000001,871,0
20000,1000,-8.648593962163048,20,-0.005500000000000001,967,0
24000,1200,-6.317166902018951,20,-0.005500000000000001,1150,0
28000,1400,-10.920529569688073,20,-0.0045000000000000005,1337,0
34000,1700,-5.949559025649222,20,0.6852504195757598,1618,0
40000,2000,-6.282984237165686,20,3.4902480912016367,1883,0
50000,2500,26.67823344854492,20,0.8963325675153025,2346,0
60000,3000,48.048355602932304,20,-0.0045000000000000005,2831,0
80000,4000,40.5406748707957,20,-0.7081824258036085,3828,0
100000,5000,68.72601941576275,20,0.06691745075724663,4783,0
120000,6000,34.92613654748678,20,-0.9997909667300612,5783,0
140000,7000,5.730595915148231,20,0.8212484272217819,6783,0
160000,8000,44.226108988092506,20,0.6148218515555763,7769,0
180000,9000,43.01117735428552,20,-0.004793523924630491,8747,0
200000,10000,16.168317878788702,20,-1.1851520041243224,9746,0
