steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,0.0,3,1.0,1,2.0
9,3,1.0,3,1.0,2,2.0
12,4,0.0,3,-1.0,2,4.0
15,5,-1.0,3,-1.0,2,6.0
18,6,-2.0,3,-1.0,2,8.0
21,7,-3.0,3,-1.0,2,10.0
24,8,-4.0,3,-1.0,2,12.0
27,9,-3.0,3,1.0,3,12.0
30,10,-2.0,3,1.0,4,12.0
36,12,-2.0,3,1.0,5,14.0
42,14,-2.0,3,-1.0,6,16.0
51,17,-5.0,3,-1.0,6,22.0
60,20,-6.0,3,1.0,7,26.0
75,25,-3.0,3,1.0,11,28.0
90,30,-2.0,3,1.0,14,32.0
120,40,-10.0,3,-1.0,15,50.0
150,50,-14.0,3,-1.0,18,64.0
180,60,-16.0,3,-1.0,22,76.0
210,70,-14.0,3,-1.0,28,84.0
240,80,-12.0,3,1.0,34,92.0
270,90,-12.0,3,1.0,39,102.0
300,100,-6.0,3,1.0,47,106.0
360,120,-4.0,3,1.0,58,124.0
420,140,0.0,3,1.0,70,140.0
510,170,6.0,3,1.0,88,164.0
600,200,4.0,3,1.0,102,196.0
750,250,-2.0,3,-1.0,124,252.0
900,300,-6.0,3,-1.0,147,306.0
1200,400,-2.0,3,-1.0,199,402.0
1500,500,-20.0,3,-1.0,240,520.0
1800,600,-24.0,3,-1.0,288,624.0
2100,700,-16.0,3,1.0,342,716.0
2400,800,-6.0,3,1.0,397,806.0
2700,900,-4.0,3,-1.0,448,904.0
3000,1000,-20.0,3,1.0,490,1020.0
3600,1200,0.0,3,-1.0,600,1200.0
4200,1400,4.0,3,1.0,702,1396.0
5100,1700,-12.0,3,-1.0,844,1712.0
6000,2000,-24.0,3,1.0,988,2024.0
7500,2500,-36.0,3,-1.0,1232,2536.0
9000,3000,-38.0,3,1.0,1481,3038.0
12000,4000,-98.0,3,-1.0,1951,4098.0
15000,5000,-116.0,3,-1.0,2442,5116.0
18000,6000,-116.0,3,-1.0,2942,6116.0
21000,7000,-112.0,3,-1.0,3444,7112.0
24000,8000,-72.0,3,-1.0,3964,8072.0
27000,9000,-28.0,3,1.0,4486,9028.0
30000,10000,-32.0,3,-1.0,4984,10032.0
