steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1000.0,1,-1000.0,2.0
2,2,-2000.0,1,-1000.0,4.0
3,3,-3000.0,1,-1000.0,6.0
4,4,-4000.0,1,-1000.0,8.0
5,5,-5000.0,1,-1000.0,10.0
6,6,-6000.0,1,-1000.0,12.0
7,7,-7000.0,1,-1000.0,14.0
8,8,-8000.0,1,-1000.0,16.0
9,9,-9000.0,1,-1000.0,18.0
10,10,-10000.0,1,-1000.0,20.0
12,12,-12000.0,1,-1000.0,24.0
14,14,-14000.0,1,-1000.0,28.0
17,17,-17000.0,1,-1000.0,34.0
20,20,-18000.0,1,1000.0,38.0
25,25,-23000.0,1,-1000.0,48.0
30,30,-26000.0,1,-1000.0,56.0
40,40,-36000.0,1,-1000.0,76.0
50,50,-46000.0,1,-1000.0,96.0
60,60,-54000.0,1,-1000.0,114.0
70,70,-64000.0,1,-1000.0,134.0
80,80,-72000.0,1,-1000.0,152.0
90,90,-78000.0,1,-1000.0,168.0
100,100,-86000.0,1,-1000.0,186.0
120,120,-104000.0,1,-1000.0,224.0
140,140,-118000.0,1,1000.0,258.0
170,170,-146000.0,1,-1000.0,316.0
200,200,-168000.0,1,-1000.0,368.0
250,250,-206000.0,1,-1000.0,456.0
300,300,-242000.0,1,-1000.0,542.0
400,400,-328000.0,1,1000.0,728.0
500,500,-392000.0,1,-1000.0,892.0
600,600,-478000.0,1,-1000.0,1078.0
700,700,-550000.0,1,-1000.0,1250.0
800,800,-638000.0,1,-1000.0,1438.0
900,900,-718000.0,1,-1000.0,1618.0
1000,1000,-804000.0,1,-1000.0,1804.0
1200,1200,-968000.0,1,1000.0,2168.0
1400,1400,-1130000.0,1,-1000.0,2530.0
1700,1700,-1370000.0,1,-1000.0,3070.0
2000,2000,-1614000.0,1,-1000.0,3614.0
2500,2500,-1996000.0,1,-1000.0,4496.0
3000,3000,-2410000.0,1,-1000.0,5410.0
4000,4000,-3148000.0,1,-1000.0,7148.0
5000,5000,-3946000.0,1,-1000.0,8946.0
6000,6000,-4792000.0,1,-1000.0,10792.0
7000,7000,-5616000.0,1,-1000.0,12616.0
8000,8000,-6446000.0,1,-1000.0,14446.0
9000,9000,-7248000.0,1,-1000.0,16248.0
10000,10000,-8060000.0,1,-1000.0,18060.0
