steps,episode,total_return,episode_len,episode_return,total_regret
6,1,2.0,6,2.0,0.0
12,2,2.0,6,0.0,2.0
18,3,4.0,6,2.0,4.0
24,4,4.0,6,0.0,6.0
30,5,4.0,6,0.0,8.0
36,6,6.0,6,2.0,8.0
42,7,8.0,6,2.0,10.0
48,8,6.0,6,-2.0,10.0
54,9,10.0,6,4.0,10.0
60,10,8.0,6,-2.0,12.0
72,12,8.0,6,2.0,14.0
84,14,4.0,6,0.0,16.0
102,17,-4.0,6,-2.0,22.0
120,20,-2.0,6,4.0,24.0
150,25,-10.0,6,-2.0,28.0
180,30,-18.0,6,0.0,38.0
240,40,-24.0,6,0.0,48.0
300,50,-30.0,6,2.0,58.0
360,60,-18.0,6,0.0,64.0
420,70,-28.0,6,4.0,78.0
480,80,-36.0,6,0.0,84.0
540,90,-36.0,6,-2.0,94.0
600,100,-46.0,6,-2.0,110.0
720,120,-56.0,6,-2.0,134.0
840,140,-66.0,6,-2.0,148.0
1020,170,-54.0,6,-2.0,184.0
1200,200,-68.0,6,0.0,222.0
1500,250,-68.0,6,0.0,266.0
1800,300,-104.0,6,-2.0,316.0
2400,400,-128.0,6,0.0,428.0
3000,500,-162.0,6,-4.0,538.0
3600,600,-206.0,6,-2.0,642.0
4200,700,-242.0,6,-2.0,758.0
4800,800,-290.0,6,-4.0,880.0
5400,900,-274.0,6,4.0,978.0
6000,1000,-260.0,6,2.0,1078.0
7200,1200,-236.0,6,2.0,1316.0
8400,1400,-256.0,6,0.0,1528.0
10200,1700,-240.0,6,2.0,1846.0
12000,2000,-296.0,6,0.0,2200.0
15000,2500,-274.0,6,4.0,2740.0
18000,3000,-392.0,6,0.0,3358.0
24000,4000,-548.0,6,2.0,4606.0
30000,5000,-914.0,6,-2.0,5926.0
36000,6000,-1206.0,6,-6.0,7266.0
42000,7000,-1648.0,6,-2.0,8696.0
48000,8000,-2104.0,6,0.0,10130.0
54000,9000,-2628.0,6,0.0,11620.0
60000,10000,-3022.0,6,0.0,13096.0
