steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
15,1,1.0,15,1.0,1,0.0
30,2,2.0,15,1.0,2,0.0
45,3,3.0,15,1.0,3,0.0
60,4,2.0,15,-1.0,3,2.0
75,5,1.0,15,-1.0,3,4.0
90,6,2.0,15,1.0,4,4.0
105,7,1.0,15,-1.0,4,6.0
120,8,2.0,15,1.0,5,6.0
135,9,3.0,15,1.0,6,6.0
150,10,4.0,15,1.0,7,6.0
180,12,2.0,15,-1.0,7,10.0
210,14,4.0,15,1.0,9,10.0
255,17,7.0,15,1.0,12,10.0
300,20,6.0,15,1.0,13,14.0
375,25,3.0,15,-1.0,14,22.0
450,30,4.0,15,-1.0,17,26.0
600,40,6.0,15,-1.0,23,34.0
750,50,8.0,15,1.0,29,42.0
900,60,8.0,15,-1.0,34,52.0
1050,70,8.0,15,-1.0,39,62.0
1200,80,8.0,15,-1.0,44,72.0
1350,90,8.0,15,-1.0,49,82.0
1500,100,10.0,15,-1.0,55,90.0
1800,120,18.0,15,1.0,69,102.0
2100,140,14.0,15,-1.0,77,126.0
2550,170,14.0,15,-1.0,92,156.0
3000,200,20.0,15,1.0,110,180.0
3750,250,22.0,15,-1.0,136,228.0
4500,300,20.0,15,1.0,160,280.0
6000,400,24.0,15,-1.0,212,376.0
7500,500,28.0,15,-1.0,264,472.0
9000,600,26.0,15,1.0,313,574.0
10500,700,14.0,15,-1.0,357,686.0
12000,800,0.0,15,1.0,400,800.0
13500,900,-6.0,15,1.0,447,906.0
15000,1000,-4.0,15,1.0,498,1004.0
18000,1200,-10.0,15,-1.0,595,1210.0
21000,1400,16.0,15,-1.0,708,1384.0
25500,1700,24.0,15,1.0,862,1676.0
30000,2000,26.0,15,1.0,1013,1974.0
37500,2500,26.0,15,1.0,1263,2474.0
45000,3000,20.0,15,-1.0,1510,2980.0
60000,4000,-40.0,15,-1.0,1980,4040.0
75000,5000,-68.0,15,-1.0,2466,5068.0
90000,6000,-88.0,15,-1.0,2956,6088.0
105000,7000,-102.0,15,1.0,3449,7102.0
120000,8000,-106.0,15,-1.0,3947,8106.0
135000,9000,-100.0,15,1.0,4450,9100.0
150000,10000,-94.0,15,1.0,4953,10094.0
