steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-8.0,1,1.0,18.0
12,12,-10.0,1,-1.0,22.0
14,14,-10.0,1,1.0,24.0
17,17,-13.0,1,-1.0,30.0
20,20,-16.0,1,-1.0,36.0
25,25,-19.0,1,-1.0,44.0
30,30,-24.0,1,-1.0,54.0
40,40,-34.0,1,-1.0,74.0
50,50,-44.0,1,-1.0,94.0
60,60,-52.0,1,-1.0,112.0
70,70,-60.0,1,-1.0,130.0
80,80,-68.0,1,-1.0,148.0
90,90,-76.0,1,-1.0,166.0
100,100,-86.0,1,-1.0,186.0
120,120,-94.0,1,-1.0,214.0
140,140,-106.0,1,-1.0,246.0
170,170,-128.0,1,-1.0,298.0
200,200,-152.0,1,-1.0,352.0
250,250,-188.0,1,-1.0,438.0
300,300,-224.0,1,-1.0,524.0
400,400,-308.0,1,-1.0,708.0
500,500,-394.0,1,-1.0,894.0
600,600,-474.0,1,-1.0,1074.0
700,700,-540.0,1,-1.0,1240.0
800,800,-612.0,1,-1.0,1412.0
900,900,-692.0,1,1.0,1592.0
1000,1000,-786.0,1,-1.0,1786.0
1200,1200,-946.0,1,-1.0,2146.0
1400,1400,-1112.0,1,-1.0,2512.0
1700,1700,-1348.0,1,-1.0,3048.0
2000,2000,-1586.0,1,-1.0,3586.0
2500,2500,-1974.0,1,-1.0,4474.0
3000,3000,-2382.0,1,-1.0,5382.0
4000,4000,-3162.0,1,-1.0,7162.0
5000,5000,-3950.0,1,-1.0,8950.0
6000,6000,-4722.0,1,-1.0,10722.0
7000,7000,-5524.0,1,-1.0,12524.0
8000,8000,-6326.0,1,-1.0,14326.0
9000,9000,-7114.0,1,-1.0,16114.0
10000,10000,-7890.0,1,-1.0,17890.0
