steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.2,1,0.2,0.8
2,2,0.30000000000000004,1,0.1,1.7000000000000002
3,3,0.30000000000000004,1,0.0,2.7
4,4,0.9000000000000001,1,0.6000000000000001,3.1
5,5,1.4000000000000001,1,0.5,3.6
6,6,1.4000000000000001,1,0.0,4.6
7,7,1.7000000000000002,1,0.30000000000000004,5.3
8,8,2.4000000000000004,1,0.7000000000000001,5.6
9,9,3.0000000000000004,1,0.6000000000000001,6.0
10,10,3.8000000000000007,1,0.8,6.2
12,12,4.800000000000001,1,0.30000000000000004,7.2
14,14,5.2,1,0.30000000000000004,8.799999999999999
17,17,6.800000000000001,1,0.30000000000000004,10.199999999999998
20,20,7.900000000000001,1,0.4,12.099999999999998
25,25,9.400000000000002,1,0.1,15.599999999999998
30,30,11.900000000000002,1,0.9,18.099999999999998
40,40,17.7,1,0.4,22.299999999999997
50,50,24.000000000000004,1,0.8,25.999999999999993
60,60,29.500000000000004,1,0.30000000000000004,30.499999999999993
70,70,35.10000000000001,1,0.4,34.89999999999999
80,80,41.4,1,0.8,38.6
90,90,44.59999999999999,1,0.0,45.40000000000001
100,100,49.79999999999999,1,0.0,50.20000000000001
120,120,58.2,1,0.2,61.8
140,140,68.50000000000001,1,0.30000000000000004,71.50000000000001
170,170,85.30000000000001,1,0.5,84.70000000000002
200,200,99.39999999999999,1,0.0,100.60000000000004
250,250,120.4,1,0.0,129.60000000000002
300,300,146.70000000000002,1,1.0,153.3
400,400,194.70000000000007,1,0.1,205.29999999999995
500,500,240.70000000000013,1,0.0,259.2999999999999
600,600,292.2999999999999,1,0.7000000000000001,307.70000000000005
700,700,340.8999999999999,1,0.8,359.1
800,800,394.10000000000014,1,1.0,405.8999999999998
900,900,443.99999999999994,1,0.4,456.0
1000,1000,494.69999999999993,1,0.9,505.3
1200,1200,614.5000000000043,1,0.6000000000000001,585.4999999999957
1400,1400,734.5000000000088,1,0.6000000000000001,665.4999999999912
1700,1700,912.100000000015,1,0.6000000000000001,787.899999999985
2000,2000,1092.5000000000093,1,0.6000000000000001,907.4999999999786
2500,2500,1390.0999999999663,1,0.6000000000000001,1109.899999999991
3000,3000,1688.1999999999227,1,0.6000000000000001,1311.8000000000345
4000,4000,2288.099999999837,1,0.6000000000000001,1711.9000000001208
5000,5000,2884.799999999751,1,0.6000000000000001,2115.2000000002063
6000,6000,3484.4999999996653,1,0.6000000000000001,2515.500000000292
7000,7000,4079.399999999579,1,0.6000000000000001,2920.6000000003783
8000,8000,4678.099999999914,1,0.6000000000000001,3321.9000000004635
9000,9000,5268.70000000026,1,0.6000000000000001,3731.300000000549
10000,10000,5863.500000000607,1,0.6000000000000001,4136.500000000591
