steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.9275840460596148,1,-0.9275840460596148,2.0
2,2,-2.032308318630302,1,-1.1047242725706876,4.0
3,3,-2.7762158480142314,1,-0.7439075293839292,6.0
4,4,-3.6109925835035392,1,-0.8347767354893076,8.0
5,5,-4.240515649709948,1,-0.6295230662064093,10.0
6,6,-4.974483492282732,1,-0.7339678425727841,12.0
7,7,-5.7023669553476495,1,-0.7278834630649171,14.0
8,8,-6.537832934911304,1,-0.8354659795636542,16.0
9,9,-7.952297835610366,1,-1.4144649006990626,18.0
10,10,-9.295033649048651,1,-1.342735813438285,20.0
12,12,-11.52457537141139,1,-0.9268229990570167,24.0
14,14,-13.652634028450706,1,-1.4182517435751207,28.0
17,17,-16.042878651595927,1,-1.436734355832849,32.0
20,20,-16.6749962537299,1,-1.2167589092992157,36.0
25,25,-21.82620193158753,1,-1.5322812096971576,46.0
30,30,-26.570778278549835,1,-0.9731354920111218,56.0
40,40,-33.99916115358931,1,-0.8082243605533654,74.0
50,50,-44.8141290542215,1,-1.6492254510607345,94.0
60,60,-51.907535028149304,1,-1.3370896356536814,112.0
70,70,-61.23727128836882,1,0.6489870962052822,130.0
80,80,-69.40998257665812,1,-0.9891084527365525,148.0
90,90,-76.1304575327432,1,0.8612582029429601,164.0
100,100,-85.77731689696995,1,-1.1738984409576108,184.0
120,120,-100.18132977971378,1,-0.8871190958978367,220.0
140,140,-114.6073246364126,1,-1.2870555784832707,256.0
170,170,-136.9597460034084,1,-1.0800965495169697,310.0
200,200,-163.3464776110678,1,-0.8450300358659364,368.0
250,250,-207.34298679256938,1,-1.1379564926072478,462.0
300,300,-245.45242493930797,1,-1.1258381930675687,550.0
400,400,-319.2618926231356,1,-0.9497944078322277,730.0
500,500,-409.8555193044799,1,-1.2223089064194317,920.0
600,600,-485.8417879810763,1,-0.578653210234567,1098.0
700,700,-559.7890388148675,1,-0.6008015358356786,1270.0
800,800,-635.4427913428216,1,-1.127608016275782,1444.0
900,900,-723.2962893102371,1,0.8086325347750657,1632.0
1000,1000,-796.3262412090511,1,1.5359850456470738,1808.0
1200,1200,-961.8815905873906,1,-1.0911160181850104,2172.0
1400,1400,-1138.8305797297232,1,-0.6539012486874944,2548.0
1700,1700,-1375.6998703571498,1,-0.598676110341849,3084.0
2000,2000,-1613.8661919159783,1,-1.6485469440695404,3618.0
2500,2500,-2029.4959011997794,1,-0.9387141553328452,4532.0
3000,3000,-2411.3663551882732,1,-0.9283745015184576,5414.0
4000,4000,-3226.951828234811,1,-0.8734365400257943,7234.0
5000,5000,-4017.327685220705,1,-0.8058946705586449,9022.0
6000,6000,-4766.02048791324,1,-0.893220442934648,10786.0
7000,7000,-5580.674673087485,1,-0.8759117358997398,12588.0
8000,8000,-6396.605822140428,1,-1.051961232142551,14402.0
9000,9000,-7205.601601523601,1,-1.0432773332628418,16218.0
10000,10000,-8011.368738538713,1,1.2037077877206201,18020.0
