steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-4.0,20,-4.0,2.0
40,2,-6.0,20,-2.0,4.0
60,3,-2.0,20,4.0,6.0
80,4,2.0,20,4.0,6.0
100,5,0.0,20,-2.0,8.0
120,6,-2.0,20,-2.0,10.0
140,7,-2.0,20,0.0,10.0
160,8,-6.0,20,-4.0,12.0
180,9,-2.0,20,4.0,14.0
200,10,-10.0,20,-8.0,16.0
240,12,-4.0,20,0.0,18.0
280,14,2.0,20,4.0,18.0
340,17,-2.0,20,-4.0,20.0
400,20,-2.0,20,0.0,22.0
500,25,-6.0,20,-2.0,26.0
600,30,-16.0,20,0.0,36.0
800,40,4.0,20,6.0,48.0
1000,50,6.0,20,2.0,58.0
1200,60,6.0,20,6.0,72.0
1400,70,24.0,20,4.0,80.0
1600,80,6.0,20,-2.0,96.0
1800,90,2.0,20,-2.0,104.0
2000,100,-8.0,20,2.0,114.0
2400,120,-36.0,20,-4.0,132.0
2800,140,-20.0,20,2.0,154.0
3400,170,-40.0,20,4.0,188.0
4000,200,-38.0,20,2.0,210.0
5000,250,-52.0,20,6.0,268.0
6000,300,-104.0,20,0.0,316.0
8000,400,-164.0,20,0.0,402.0
10000,500,-140.0,20,4.0,522.0
12000,600,-62.0,20,-4.0,620.0
14000,700,-34.0,20,6.0,706.0
16000,800,-64.0,20,-10.0,826.0
18000,900,-232.0,20,0.0,944.0
20000,1000,-224.0,20,-4.0,1056.0
24000,1200,-144.0,20,2.0,1288.0
28000,1400,-176.0,20,4.0,1504.0
34000,1700,-172.0,20,2.0,1824.0
40000,2000,-236.0,20,0.0,2132.0
50000,2500,-166.0,20,4.0,2670.0
60000,3000,-62.0,20,-2.0,3168.0
80000,4000,110.0,20,10.0,4160.0
100000,5000,268.0,20,-12.0,5162.0
120000,6000,364.0,20,-2.0,6166.0
140000,7000,304.0,20,0.0,7182.0
160000,8000,218.0,20,-2.0,8168.0
180000,9000,312.0,20,2.0,9126.0
200000,10000,302.0,20,0.0,10106.0
