steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.8,1,0.8,0.19999999999999996
2,2,0.8,1,0.0,1.2
3,3,1.8,1,1.0,1.2
4,4,1.9000000000000001,1,0.1,2.1
5,5,2.7,1,0.8,2.3
6,6,3.4000000000000004,1,0.7000000000000001,2.5999999999999996
7,7,4.2,1,0.8,2.8
8,8,4.9,1,0.7000000000000001,3.0999999999999996
9,9,5.800000000000001,1,0.9,3.1999999999999997
10,10,6.700000000000001,1,0.9,3.3
12,12,8.100000000000001,1,0.4,3.9
14,14,9.100000000000001,1,0.9,4.8999999999999995
17,17,10.300000000000002,1,0.30000000000000004,6.699999999999999
20,20,11.800000000000002,1,0.4,8.2
25,25,13.600000000000003,1,0.4,11.399999999999999
30,30,16.300000000000004,1,0.7000000000000001,13.7
40,40,20.6,1,0.4,19.400000000000002
50,50,26.999999999999996,1,0.7000000000000001,23.000000000000007
60,60,31.099999999999994,1,0.4,28.90000000000001
70,70,36.79999999999999,1,0.5,33.20000000000002
80,80,40.79999999999999,1,0.7000000000000001,39.20000000000002
90,90,47.399999999999984,1,0.2,42.60000000000002
100,100,52.4,1,0.7000000000000001,47.60000000000001
120,120,62.5,1,0.4,57.50000000000001
140,140,71.1,1,0.6000000000000001,68.90000000000002
170,170,87.09999999999998,1,0.6000000000000001,82.90000000000003
200,200,103.39999999999999,1,0.8,96.60000000000002
250,250,129.9,1,0.30000000000000004,120.10000000000005
300,300,153.8,1,0.1,146.20000000000005
400,400,205.60000000000002,1,0.7000000000000001,194.40000000000003
500,500,254.50000000000003,1,0.5,245.50000000000003
600,600,301.2000000000001,1,0.30000000000000004,298.79999999999995
700,700,357.1,1,0.7000000000000001,342.90000000000003
800,800,406.09999999999985,1,0.5,393.9000000000002
900,900,454.3999999999996,1,0.5,445.6000000000005
1000,1000,496.69999999999965,1,0.8,503.3000000000004
1200,1200,661.7999999999927,1,0.9,538.2000000000064
1400,1400,850.3999999999912,1,0.4,549.6000000000079
1700,1700,1137.9999999999925,1,1.0,562.0000000000084
2000,2000,1421.4999999999993,1,1.0,578.50000000001
2500,2500,1894.4000000000067,1,1.0,605.6000000000139
3000,3000,2365.10000000002,1,1.0,634.9000000000171
4000,4000,3326.9000000000296,1,1.0,673.1000000000196
5000,5000,4281.4000000000015,1,1.0,718.6000000000187
6000,6000,5256.499999999999,1,0.6000000000000001,743.5000000000186
7000,7000,6226.999999999992,1,0.9,773.0000000000202
8000,8000,7200.599999999994,1,1.0,799.4000000000201
9000,9000,8172.999999999978,1,1.0,827.0000000000209
10000,10000,9143.499999999973,1,1.0,856.5000000000213
