steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.294655658452925,1,1.294655658452925,0.6
2,2,1.7654661854717668,1,0.47081052701884196,0.6
3,3,1.0751221434128888,1,-0.690344042058878,0.6
4,4,1.811011582126004,1,0.7358894387131152,1.6
5,5,2.0579037715118993,1,0.24689218938589516,2.3
6,6,1.998697484799394,1,-0.05920628671250536,3.3
7,7,2.56327485640878,1,0.5645773716093861,3.6999999999999997
8,8,2.9385964604767985,1,0.3753216040680182,4.3
9,9,3.128168189385636,1,0.18957172890883756,4.5
10,10,4.478498709783474,1,1.350330520397838,4.5
12,12,4.063141659235355,1,-0.2071362938794684,6.2
14,14,1.6506889347401694,1,-0.8948624925494038,6.9
17,17,1.1177862840081196,1,0.17422197702985381,9.3
20,20,5.849702007757218,1,1.5324105820620022,11.200000000000001
25,25,6.732428111022298,1,-1.405126260349975,14.100000000000001
30,30,8.74225339479496,1,-0.14094647941178406,17.3
40,40,9.109086413704254,1,-0.36141618963149325,22.0
50,50,7.389183845174257,1,0.44157862825704125,26.700000000000003
60,60,8.455332702964848,1,1.6563816038547199,32.1
70,70,14.019995900689858,1,-0.7456364010888773,37.099999999999994
80,80,21.792537144240526,1,0.8607968407535276,41.49999999999999
90,90,30.913248735316717,1,0.35465641309720913,46.49999999999999
100,100,39.21002239441049,1,-1.3658440669794327,50.9
120,120,46.24408514412598,1,1.630212910070116,60.1
140,140,58.79457056793883,1,0.27774475614868577,70.00000000000001
170,170,64.53742376461075,1,-0.00326499940394398,83.10000000000004
200,200,74.2626203996319,1,-0.2696750067147461,101.10000000000005
250,250,126.86345850930066,1,1.581424763938461,122.80000000000005
300,300,155.1758469916627,1,0.6398473317134107,143.20000000000002
400,400,212.97122620810782,1,1.3182174333386818,192.19999999999993
500,500,257.9835361785999,1,1.4223722795716596,237.4999999999998
600,600,299.9803280525671,1,-2.5157192240904793,290.4999999999999
700,700,364.78577206239873,1,-0.0681509146994187,340.90000000000003
800,800,427.56239982829896,1,1.1040553236651782,388.8000000000002
900,900,488.24670644282685,1,1.4668646328739778,438.2000000000007
1000,1000,538.7692591424315,1,1.7377508068922563,486.70000000000095
1200,1200,735.3663946221859,1,1.9853204530138298,503.6000000000014
1400,1400,931.6143066294396,1,1.2197629936164744,511.5000000000022
1700,1700,1198.9757697884206,1,2.457915892831241,538.2000000000071
2000,2000,1487.7034700992492,1,0.6645500687257215,542.7000000000071
2500,2500,1968.8793323364996,1,1.464298308264855,556.7000000000074
3000,3000,2435.1491103565877,1,0.15774690753927834,591.9000000000103
4000,4000,3371.1543463624366,1,0.47421034843298804,669.9000000000157
5000,5000,4395.83495211243,1,1.6407309821734815,720.3000000000196
6000,6000,5290.489502130455,1,1.4765340050872156,835.8000000000118
7000,7000,6273.500127831234,1,0.5212088751441721,859.3000000000117
8000,8000,7250.1728414644485,1,1.800762363247022,893.7000000000128
9000,9000,8292.414156120389,1,1.9374905608438537,917.4000000000128
10000,10000,9167.279759995992,1,1.971385225694728,980.3000000000104
