steps,episode,total_return,episode_len,episode_return,total_regret
1,1,400.0,1,400.0,0.6
2,2,1200.0,1,800.0,0.7999999999999999
3,3,2000.0,1,800.0,0.9999999999999999
4,4,2300.0,1,300.00000000000006,1.6999999999999997
5,5,2600.0,1,300.00000000000006,2.3999999999999995
6,6,3500.0,1,900.0,2.4999999999999996
7,7,3600.0,1,100.0,3.3999999999999995
8,8,4400.0,1,800.0,3.5999999999999996
9,9,5200.0,1,800.0,3.8
10,10,5800.0,1,600.0000000000001,4.199999999999999
12,12,7300.0,1,1000.0,4.699999999999999
14,14,8700.0,1,700.0000000000001,5.299999999999999
17,17,10700.0,1,500.0,6.299999999999999
20,20,11800.0,1,1000.0,8.2
25,25,14200.0,1,500.0,10.799999999999997
30,30,16800.0,1,0.0,13.199999999999998
40,40,22200.0,1,100.0,17.799999999999997
50,50,27700.0,1,1000.0,22.3
60,60,33300.0,1,1000.0,26.7
70,70,38600.0,1,400.0,31.400000000000002
80,80,43100.0,1,900.0,36.9
90,90,48300.0,1,600.0000000000001,41.699999999999996
100,100,53200.0,1,600.0000000000001,46.79999999999999
120,120,62900.0,1,300.00000000000006,57.1
140,140,71400.0,1,1000.0,68.6
170,170,86100.0,1,500.0,83.90000000000002
200,200,102700.0,1,600.0000000000001,97.30000000000003
250,250,131300.0,1,100.0,118.70000000000002
300,300,156800.0,1,600.0000000000001,143.20000000000002
400,400,207000.0,1,200.0,193.0
500,500,260900.0,1,400.0,239.1
600,600,311100.0,1,700.0000000000001,288.9000000000001
700,700,360400.0,1,0.0,339.6000000000002
800,800,412400.0,1,300.00000000000006,387.6000000000005
900,900,460100.0,1,100.0,439.90000000000043
1000,1000,508800.0,1,200.0,491.20000000000005
1200,1200,652100.0,1,800.0,547.9000000000076
1400,1400,827500.0,1,1000.0,572.5000000000116
1700,1700,1119400.0,1,900.0,580.6000000000121
2000,2000,1406800.0,1,1000.0,593.2000000000129
2500,2500,1880400.0,1,1000.0,619.600000000017
3000,3000,2355800.0,1,1000.0,644.200000000021
4000,4000,3318800.0,1,1000.0,681.2000000000239
5000,5000,4287000.0,1,1000.0,713.0000000000226
6000,6000,5246300.0,1,1000.0,753.7000000000263
7000,7000,6220700.0,1,1000.0,779.3000000000264
8000,8000,7200200.0,1,1000.0,799.8000000000267
9000,9000,8174700.0,1,1000.0,825.3000000000268
10000,10000,9138500.0,1,1000.0,861.5000000000302
