steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.005,10,-0.005,1,0.0
20,2,-0.008,10,-0.003,2,0.0
30,3,-0.015000000000000006,10,-0.007,3,0.0
40,4,-0.022000000000000013,10,-0.007,4,0.0
50,5,-0.028000000000000018,10,-0.006,5,0.0
60,6,-0.03300000000000002,10,-0.005,6,0.0
70,7,-0.037000000000000026,10,-0.004,7,0.0
80,8,-0.04100000000000003,10,-0.004,8,0.0
90,9,-0.048000000000000036,10,-0.007,9,0.0
100,10,-0.05200000000000004,10,-0.004,10,0.0
120,12,-0.06200000000000005,10,-0.003,12,0.0
140,14,-0.06900000000000005,10,-0.004,14,0.0
170,17,-0.08400000000000006,10,-0.006,17,0.0
200,20,-0.09500000000000007,10,-0.002,20,0.0
250,25,-0.11900000000000009,10,-0.003,25,0.0
300,30,-0.1460000000000001,10,-0.006,30,0.0
400,40,-0.19700000000000015,10,-0.005,40,0.0
500,50,-0.2420000000000002,10,-0.006,50,0.0
600,60,-0.3020000000000002,10,-0.003,60,0.0
700,70,-0.34800000000000025,10,-0.005,70,0.0
800,80,-0.3970000000000003,10,-0.004,80,0.0
900,90,0.5479999999999996,10,0.99,89,1.0
1000,100,0.5039999999999996,10,-0.004,99,1.0
1200,120,0.4149999999999995,10,-0.004,119,1.0
1400,140,0.3179999999999994,10,-0.008,139,1.0
1700,170,0.1969999999999993,10,-0.003,169,1.0
2000,200,0.07699999999999918,10,-0.005,199,1.0
2500,250,-0.11600000000000098,10,-0.002,249,1.0
3000,300,-0.3050000000000011,10,-0.002,299,1.0
4000,400,-0.6380000000000013,10,-0.002,399,1.0
5000,500,-0.9150000000000016,10,-0.003,499,1.0
6000,600,-1.140999999999986,10,-0.002,599,1.0
7000,700,-1.3249999999999658,10,-0.001,699,1.0
8000,800,-1.4669999999999501,10,0.0,799,1.0
9000,900,-1.55799999999994,10,0.0,899,1.0
10000,1000,-1.6009999999999354,10,0.0,999,1.0
12000,1200,-1.6629999999999285,10,0.0,1199,1.0
14000,1400,-1.7199999999999223,10,-0.001,1399,1.0
17000,1700,-1.8079999999999126,10,0.0,1699,1.0
20000,2000,-1.875999999999905,10,0.0,1999,1.0
25000,2500,-1.9839999999998932,10,0.0,2499,1.0
30000,3000,-2.0929999999998814,10,-0.001,2999,1.0
40000,4000,-2.3379999999998544,10,-0.001,3999,1.0
50000,5000,-2.5909999999998266,10,0.0,4999,1.0
60000,6000,-2.8559999999997974,10,0.0,5999,1.0
70000,7000,-3.1169999999997686,10,-0.001,6999,1.0
80000,8000,-3.3529999999997426,10,0.0,7999,1.0
90000,9000,-3.5799999999997176,10,-0.001,8999,1.0
100000,10000,-3.849999999999688,10,-0.001,9999,1.0
