steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
30,1,-0.0036666666666666675,30,-0.0036666666666666675,1,0
60,2,-0.008333333333333331,30,-0.004666666666666667,2,0
90,3,-0.014333333333333326,30,-0.005999999999999999,3,0
120,4,-0.019000000000000006,30,-0.004666666666666667,4,0
150,5,-0.023000000000000024,30,-0.004000000000000001,5,0
180,6,-0.02833333333333338,30,-0.005333333333333333,6,0
210,7,-0.03300000000000005,30,-0.004666666666666667,7,0
240,8,-0.03766666666666669,30,-0.004666666666666667,7,0
270,9,-0.04233333333333333,30,-0.004666666666666667,8,0
300,10,-0.04566666666666664,30,-0.003333333333333334,9,0
360,12,-0.05566666666666658,30,-0.004666666666666667,11,0
420,14,-0.0666666666666666,30,-0.005333333333333333,13,0
510,17,-0.09870096457990726,30,0.06959171014970486,16,0
600,20,-0.11336763124657415,30,-0.0036666666666666675,19,0
750,25,-0.15383405654137905,30,0.46482793581229737,24,0
900,30,-1.2783059857925634,30,-1.102471929251185,29,0
1200,40,-1.5524181394435583,30,-0.004666666666666667,39,0
1500,50,-0.12404343195723377,30,0.496702907510168,49,0
1800,60,0.8661021674966068,30,-0.005333333333333333,59,0
2100,70,-0.12458934057828408,30,-0.005333333333333333,69,0
2400,80,-0.5777699310255793,30,-0.005999999999999999,79,0
2700,90,0.9785459423974607,30,-0.006333333333333332,88,0
3000,100,3.039727188817965,30,-0.005666666666666666,98,0
3600,120,2.8975748049611743,30,-0.004333333333333334,118,0
4200,140,3.9384924422340815,30,-0.005,137,0
5100,170,5.714375573307393,30,-0.005999999999999999,165,0
6000,200,7.251855231814263,30,-0.005333333333333333,194,0
7500,250,9.983410583512965,30,0.6610207885979944,243,0
9000,300,11.285314595626131,30,-0.004666666666666667,292,0
12000,400,15.612062650133188,30,-0.005666666666666666,387,0
15000,500,14.08267438866861,30,-0.005333333333333333,486,0
18000,600,12.473413169895672,30,-0.005,586,0
21000,700,3.635101964478491,30,-0.006333333333333332,681,0
24000,800,9.378381678633767,30,-0.005333333333333333,773,0
27000,900,12.90882732948235,30,0.25652603575118826,867,0
30000,1000,13.009711152855921,30,-0.005999999999999999,962,0
36000,1200,7.702320569740454,30,-0.005999999999999999,1151,0
42000,1400,19.396933628876226,30,-0.5803417223196332,1326,0
51000,1700,1.9287677199493671,30,0.3799453138578627,1624,0
60000,2000,22.611057725396005,30,1.1166382007044215,1924,0
75000,2500,22.661487734596157,30,1.7496246924549879,2410,0
90000,3000,0.8253926493092714,30,-0.005999999999999999,2878,0
120000,4000,39.593135625842876,30,1.6475447091386672,3803,0
150000,5000,11.15236317469258,30,1.1573587812304236,4676,0
180000,6000,8.307357348693209,30,-0.8344081781409185,5654,0
210000,7000,29.720198042607883,30,-0.006333333333333332,6643,0
240000,8000,-6.365206880054863,30,-0.004333333333333334,7605,0
270000,9000,15.640119165175019,30,-0.004000000000000001,8604,0
300000,10000,22.71305890578456,30,-0.005666666666666666,9601,0
