steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.1,100,1.1
300,3,3.1,100,1.0
400,4,4.2,100,1.1
500,5,5.2,100,1.0
600,6,6.2,100,1.0
700,7,7.2,100,1.0
800,8,8.3,100,1.1
900,9,9.3,100,1.0
1000,10,10.3,100,1.0
1200,12,12.3,100,1.0
1400,14,14.3,100,1.0
1700,17,17.500000000000004,100,1.1
2000,20,20.600000000000005,100,1.0
2500,25,25.90000000000001,100,1.0
3000,30,31.00000000000001,100,1.0
4000,40,41.100000000000016,100,1.0
5000,50,51.100000000000016,100,1.0
6000,60,61.30000000000002,100,1.0
7000,70,71.5,100,1.1
8000,80,81.6,100,1.0
9000,90,91.6,100,1.0
10000,100,101.6,100,1.0
12000,120,121.6,100,1.0
14000,140,141.6,100,1.0
17000,170,171.6,100,1.0
20000,200,201.6,100,1.0
25000,250,251.7,100,1.0
30000,300,301.8,100,1.0
40000,400,401.90000000000003,100,1.0
50000,500,502.3000000000001,100,1.0
60000,600,602.5000000000002,100,1.0
70000,700,702.7000000000003,100,1.0
80000,800,802.9000000000003,100,1.0
90000,900,903.1000000000004,100,1.0
100000,1000,1003.2000000000004,100,1.0
