steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
101,1,-1.0,101,-1.0,0,2.0
202,2,-2.0,101,-1.0,0,4.0
303,3,-3.0,101,-1.0,0,6.0
404,4,-2.0,101,1.0,1,6.0
505,5,-1.0,101,1.0,2,6.0
606,6,-2.0,101,-1.0,2,8.0
707,7,-1.0,101,1.0,3,8.0
808,8,0.0,101,1.0,4,8.0
909,9,-1.0,101,-1.0,4,10.0
1010,10,0.0,101,1.0,5,10.0
1212,12,0.0,101,-1.0,6,12.0
1414,14,-2.0,101,-1.0,6,16.0
1717,17,-3.0,101,-1.0,7,20.0
2020,20,-4.0,101,-1.0,8,24.0
2525,25,-5.0,101,-1.0,10,30.0
3030,30,-4.0,101,1.0,13,34.0
4040,40,2.0,101,1.0,21,38.0
5050,50,4.0,101,1.0,27,46.0
6060,60,8.0,101,1.0,34,52.0
7070,70,4.0,101,-1.0,37,66.0
8080,80,2.0,101,-1.0,41,78.0
9090,90,6.0,101,1.0,48,84.0
10100,100,6.0,101,1.0,53,94.0
12120,120,2.0,101,-1.0,61,118.0
14140,140,-2.0,101,1.0,69,142.0
17170,170,0.0,101,-1.0,85,170.0
20200,200,4.0,101,1.0,102,196.0
25250,250,4.0,101,1.0,127,246.0
30300,300,14.0,101,1.0,157,286.0
40400,400,0.0,101,-1.0,200,400.0
50500,500,0.0,101,1.0,250,500.0
60600,600,-14.0,101,1.0,293,614.0
70700,700,-12.0,101,1.0,344,712.0
80800,800,-14.0,101,1.0,393,814.0
90900,900,-16.0,101,-1.0,442,916.0
101000,1000,-12.0,101,-1.0,494,1012.0
121200,1200,-18.0,101,-1.0,591,1218.0
141400,1400,6.0,101,-1.0,703,1394.0
171700,1700,36.0,101,1.0,868,1664.0
202000,2000,24.0,101,1.0,1012,1976.0
252500,2500,22.0,101,1.0,1261,2478.0
303000,3000,32.0,101,1.0,1516,2968.0
404000,4000,48.0,101,1.0,2024,3952.0
505000,5000,32.0,101,1.0,2516,4968.0
606000,6000,-34.0,101,-1.0,2983,6034.0
707000,7000,-42.0,101,1.0,3479,7042.0
808000,8000,-56.0,101,-1.0,3972,8056.0
909000,9000,-72.0,101,-1.0,4464,9072.0
1010000,10000,-60.0,101,-1.0,4970,10060.0
