steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,-2.0,3,-1.0,0,4.0
9,3,-3.0,3,-1.0,0,6.0
12,4,-2.0,3,1.0,1,6.0
15,5,-1.0,3,1.0,2,6.0
18,6,0.0,3,1.0,3,6.0
21,7,1.0,3,1.0,4,6.0
24,8,0.0,3,-1.0,4,8.0
27,9,-1.0,3,-1.0,4,10.0
30,10,0.0,3,1.0,5,10.0
36,12,2.0,3,1.0,7,10.0
42,14,2.0,3,-1.0,8,12.0
51,17,3.0,3,-1.0,10,14.0
60,20,2.0,3,-1.0,11,18.0
75,25,5.0,3,1.0,15,20.0
90,30,10.0,3,1.0,20,20.0
120,40,16.0,3,1.0,28,24.0
150,50,14.0,3,1.0,32,36.0
180,60,20.0,3,1.0,40,40.0
210,70,22.0,3,-1.0,46,48.0
240,80,22.0,3,1.0,51,58.0
270,90,20.0,3,-1.0,55,70.0
300,100,16.0,3,-1.0,58,84.0
360,120,18.0,3,1.0,69,102.0
420,140,22.0,3,1.0,81,118.0
510,170,14.0,3,-1.0,92,156.0
600,200,8.0,3,1.0,104,192.0
750,250,-4.0,3,-1.0,123,254.0
900,300,-10.0,3,1.0,145,310.0
1200,400,-6.0,3,1.0,197,406.0
1500,500,-10.0,3,-1.0,245,510.0
1800,600,8.0,3,1.0,304,592.0
2100,700,-12.0,3,1.0,344,712.0
2400,800,-6.0,3,-1.0,397,806.0
2700,900,-16.0,3,1.0,442,916.0
3000,1000,-28.0,3,-1.0,486,1028.0
3600,1200,-18.0,3,-1.0,591,1218.0
4200,1400,-10.0,3,-1.0,695,1410.0
5100,1700,-30.0,3,-1.0,835,1730.0
6000,2000,-42.0,3,-1.0,979,2042.0
7500,2500,-94.0,3,-1.0,1203,2594.0
9000,3000,-64.0,3,-1.0,1468,3064.0
12000,4000,-120.0,3,-1.0,1940,4120.0
15000,5000,-136.0,3,-1.0,2432,5136.0
18000,6000,-142.0,3,1.0,2929,6142.0
21000,7000,-162.0,3,1.0,3419,7162.0
24000,8000,-198.0,3,-1.0,3901,8198.0
27000,9000,-228.0,3,-1.0,4386,9228.0
30000,10000,-220.0,3,1.0,4890,10220.0
