steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-10.0,1,-1.0,20.0
12,12,-12.0,1,-1.0,24.0
14,14,-14.0,1,-1.0,28.0
17,17,-17.0,1,-1.0,34.0
20,20,-20.0,1,-1.0,40.0
25,25,-25.0,1,-1.0,50.0
30,30,-28.0,1,-1.0,58.0
40,40,-38.0,1,-1.0,78.0
50,50,-48.0,1,-1.0,98.0
60,60,-56.0,1,-1.0,116.0
70,70,-66.0,1,-1.0,136.0
80,80,-72.0,1,-1.0,152.0
90,90,-80.0,1,-1.0,170.0
100,100,-90.0,1,-1.0,190.0
120,120,-110.0,1,-1.0,230.0
140,140,-122.0,1,-1.0,262.0
170,170,-142.0,1,1.0,312.0
200,200,-168.0,1,-1.0,368.0
250,250,-210.0,1,-1.0,460.0
300,300,-252.0,1,-1.0,552.0
400,400,-330.0,1,-1.0,730.0
500,500,-406.0,1,1.0,906.0
600,600,-480.0,1,-1.0,1080.0
700,700,-564.0,1,-1.0,1264.0
800,800,-642.0,1,-1.0,1442.0
900,900,-724.0,1,-1.0,1624.0
1000,1000,-804.0,1,-1.0,1804.0
1200,1200,-946.0,1,-1.0,2146.0
1400,1400,-1094.0,1,-1.0,2494.0
1700,1700,-1322.0,1,1.0,3022.0
2000,2000,-1536.0,1,-1.0,3536.0
2500,2500,-1908.0,1,1.0,4408.0
3000,3000,-2242.0,1,1.0,5242.0
4000,4000,-2890.0,1,1.0,6890.0
5000,5000,-3476.0,1,1.0,8476.0
6000,6000,-3988.0,1,-1.0,9988.0
7000,7000,-4526.0,1,-1.0,11526.0
8000,8000,-5066.0,1,-1.0,13066.0
9000,9000,-5578.0,1,-1.0,14578.0
10000,10000,-6106.0,1,-1.0,16106.0
