steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.2206348235296767,1,-1.2206348235296767,2.0
2,2,-2.034769239932743,1,-0.8141344164030663,4.0
3,3,-2.965533109369061,1,-0.9307638694363181,6.0
4,4,-3.8927935525578303,1,-0.9272604431887692,8.0
5,5,-5.5503328057055334,1,-1.6575392531477031,10.0
6,6,-6.522865786643312,1,-0.9725329809377785,12.0
7,7,-7.858661380871757,1,-1.3357955942284447,14.0
8,8,-8.725075889126279,1,-0.8664145082545222,16.0
9,9,-9.88668633462489,1,-1.1616104454986127,18.0
10,10,-11.047221162499206,1,-1.160534827874316,20.0
12,12,-10.370993747925908,1,1.3839073182532318,22.0
14,14,-12.527211675832966,1,-1.4467037520839292,26.0
17,17,-15.372553954483081,1,-1.2437205446778532,32.0
20,20,-18.647855430339234,1,-0.8774461330762815,38.0
25,25,-24.4081669858778,1,-1.3752146104196337,48.0
30,30,-25.788906106746577,1,0.8710543530049224,54.0
40,40,-33.96460420955768,1,-0.5428780217198335,74.0
50,50,-43.15545397945265,1,-0.9167612531552591,94.0
60,60,-51.490361301552944,1,-0.939315749606022,112.0
70,70,-60.865286132704114,1,-0.6516603263164182,132.0
80,80,-66.43896941504025,1,-1.2180300475521915,148.0
90,90,-76.58715747394253,1,-1.108649098226811,168.0
100,100,-82.55339032271654,1,-1.2280981577535195,182.0
120,120,-99.94166460842638,1,-1.1416347477663293,218.0
140,140,-112.97052138288842,1,-0.8581470423116053,252.0
170,170,-139.84976049842575,1,0.7916848795048319,308.0
200,200,-165.0474265098344,1,-1.265677309015207,364.0
250,250,-212.74142108606802,1,-1.3969612060833474,458.0
300,300,-254.25141112520507,1,-1.0577949004134803,548.0
400,400,-328.4907764182904,1,-0.4881596676111135,726.0
500,500,-410.2723955093156,1,-1.3478475334046127,908.0
600,600,-482.5399477338076,1,-1.3639522086838096,1080.0
700,700,-573.7944578568901,1,-1.027375865603968,1268.0
800,800,-656.1345607274176,1,-1.2980567440172863,1452.0
900,900,-741.7672756659667,1,-0.9030488210607956,1632.0
1000,1000,-824.6299759083477,1,1.067899010749643,1812.0
1200,1200,-1001.6899189621339,1,-0.9225236197949751,2184.0
1400,1400,-1149.8258281410567,1,-0.17188894404456279,2524.0
1700,1700,-1387.7003897670434,1,-1.1738544479720983,3062.0
2000,2000,-1618.0545373141726,1,-1.0189765752819686,3598.0
2500,2500,-1992.0633443907948,1,-1.23897422961589,4462.0
3000,3000,-2333.60088745304,1,0.6690036994679847,5302.0
4000,4000,-3027.030657098069,1,-0.9630406786173374,7008.0
5000,5000,-3676.345464415175,1,1.5631078585507225,8670.0
6000,6000,-4270.359992497506,1,-0.8861007956815155,10266.0
7000,7000,-4935.866646974093,1,-1.1902455152254028,11918.0
8000,8000,-5537.660009875423,1,1.0130752653488213,13516.0
9000,9000,-6104.20547554394,1,-1.081781580233059,15066.0
10000,10000,-6712.647928136511,1,-0.8688679749674965,16664.0
