steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1000.0,1,-1000.0,2.0
2,2,-2000.0,1,-1000.0,4.0
3,3,-3000.0,1,-1000.0,6.0
4,4,-4000.0,1,-1000.0,8.0
5,5,-5000.0,1,-1000.0,10.0
6,6,-6000.0,1,-1000.0,12.0
7,7,-7000.0,1,-1000.0,14.0
8,8,-8000.0,1,-1000.0,16.0
9,9,-7000.0,1,1000.0,16.0
10,10,-8000.0,1,-1000.0,18.0
12,12,-10000.0,1,-1000.0,22.0
14,14,-12000.0,1,-1000.0,26.0
17,17,-15000.0,1,-1000.0,32.0
20,20,-16000.0,1,-1000.0,36.0
25,25,-21000.0,1,-1000.0,46.0
30,30,-26000.0,1,-1000.0,56.0
40,40,-30000.0,1,-1000.0,70.0
50,50,-36000.0,1,-1000.0,86.0
60,60,-44000.0,1,-1000.0,104.0
70,70,-54000.0,1,-1000.0,124.0
80,80,-64000.0,1,-1000.0,144.0
90,90,-70000.0,1,-1000.0,160.0
100,100,-78000.0,1,-1000.0,178.0
120,120,-94000.0,1,-1000.0,214.0
140,140,-108000.0,1,-1000.0,248.0
170,170,-130000.0,1,-1000.0,300.0
200,200,-158000.0,1,-1000.0,358.0
250,250,-202000.0,1,-1000.0,452.0
300,300,-246000.0,1,-1000.0,546.0
400,400,-332000.0,1,-1000.0,732.0
500,500,-416000.0,1,-1000.0,916.0
600,600,-490000.0,1,1000.0,1090.0
700,700,-564000.0,1,-1000.0,1264.0
800,800,-640000.0,1,1000.0,1440.0
900,900,-706000.0,1,-1000.0,1606.0
1000,1000,-788000.0,1,-1000.0,1788.0
1200,1200,-942000.0,1,-1000.0,2142.0
1400,1400,-1102000.0,1,-1000.0,2502.0
1700,1700,-1304000.0,1,-1000.0,3004.0
2000,2000,-1524000.0,1,-1000.0,3524.0
2500,2500,-1856000.0,1,-1000.0,4356.0
3000,3000,-2180000.0,1,-1000.0,5180.0
4000,4000,-2756000.0,1,1000.0,6756.0
5000,5000,-3366000.0,1,1000.0,8366.0
6000,6000,-3974000.0,1,-1000.0,9974.0
7000,7000,-4546000.0,1,-1000.0,11546.0
8000,8000,-5052000.0,1,1000.0,13052.0
9000,9000,-5552000.0,1,1000.0,14552.0
10000,10000,-6084000.0,1,1000.0,16084.0
