steps,episode,total_return,episode_len,episode_return,total_regret
20,1,6.0,20,6.0,0.0
40,2,10.0,20,4.0,2.0
60,3,10.0,20,0.0,4.0
80,4,18.0,20,8.0,4.0
100,5,16.0,20,-2.0,4.0
120,6,10.0,20,-6.0,6.0
140,7,8.0,20,-2.0,8.0
160,8,6.0,20,-2.0,8.0
180,9,2.0,20,-4.0,8.0
200,10,-4.0,20,-6.0,10.0
240,12,6.0,20,2.0,12.0
280,14,6.0,20,-2.0,14.0
340,17,-2.0,20,-2.0,16.0
400,20,-8.0,20,-6.0,20.0
500,25,-14.0,20,-6.0,26.0
600,30,-34.0,20,-4.0,32.0
800,40,-32.0,20,0.0,44.0
1000,50,-40.0,20,6.0,54.0
1200,60,-28.0,20,4.0,64.0
1400,70,12.0,20,8.0,70.0
1600,80,6.0,20,0.0,82.0
1800,90,-30.0,20,-10.0,96.0
2000,100,-42.0,20,2.0,104.0
2400,120,-40.0,20,0.0,122.0
2800,140,-2.0,20,-4.0,134.0
3400,170,56.0,20,6.0,158.0
4000,200,20.0,20,-4.0,194.0
5000,250,32.0,20,-4.0,254.0
6000,300,-18.0,20,0.0,310.0
8000,400,56.0,20,6.0,426.0
10000,500,40.0,20,2.0,546.0
12000,600,0.0,20,-4.0,662.0
14000,700,2.0,20,-4.0,784.0
16000,800,-22.0,20,0.0,902.0
18000,900,0.0,20,0.0,992.0
20000,1000,6.0,20,-10.0,1096.0
24000,1200,64.0,20,2.0,1322.0
28000,1400,114.0,20,4.0,1596.0
34000,1700,-82.0,20,-4.0,1962.0
40000,2000,-290.0,20,2.0,2268.0
50000,2500,-528.0,20,-2.0,2890.0
60000,3000,-498.0,20,2.0,3430.0
80000,4000,-228.0,20,-2.0,4216.0
100000,5000,122.0,20,2.0,4856.0
120000,6000,548.0,20,0.0,5460.0
140000,7000,1276.0,20,-6.0,5892.0
160000,8000,1862.0,20,0.0,6432.0
180000,9000,2070.0,20,-2.0,7108.0
200000,10000,2082.0,20,0.0,7790.0
