steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,0.0,1,1.0,2.0
3,3,-1.0,1,-1.0,4.0
4,4,0.0,1,1.0,4.0
5,5,1.0,1,1.0,4.0
6,6,2.0,1,1.0,4.0
7,7,1.0,1,-1.0,6.0
8,8,0.0,1,-1.0,8.0
9,9,1.0,1,1.0,8.0
10,10,2.0,1,1.0,8.0
12,12,2.0,1,1.0,10.0
14,14,2.0,1,-1.0,12.0
17,17,1.0,1,-1.0,16.0
20,20,2.0,1,1.0,18.0
25,25,3.0,1,1.0,22.0
30,30,6.0,1,-1.0,24.0
40,40,2.0,1,-1.0,38.0
50,50,2.0,1,1.0,48.0
60,60,0.0,1,-1.0,60.0
70,70,-6.0,1,-1.0,76.0
80,80,-6.0,1,-1.0,86.0
90,90,-8.0,1,1.0,98.0
100,100,-2.0,1,1.0,102.0
120,120,0.0,1,1.0,120.0
140,140,0.0,1,-1.0,140.0
170,170,4.0,1,-1.0,166.0
200,200,0.0,1,-1.0,200.0
250,250,-4.0,1,-1.0,254.0
300,300,6.0,1,-1.0,294.0
400,400,-6.0,1,-1.0,406.0
500,500,-22.0,1,-1.0,522.0
600,600,-32.0,1,1.0,632.0
700,700,-22.0,1,-1.0,722.0
800,800,-28.0,1,-1.0,828.0
900,900,-46.0,1,1.0,946.0
1000,1000,-58.0,1,-1.0,1058.0
1200,1200,64.0,1,1.0,1136.0
1400,1400,244.0,1,1.0,1156.0
1700,1700,530.0,1,1.0,1170.0
2000,2000,808.0,1,1.0,1192.0
2500,2500,1286.0,1,1.0,1214.0
3000,3000,1770.0,1,1.0,1230.0
4000,4000,2716.0,1,1.0,1284.0
5000,5000,3652.0,1,1.0,1348.0
6000,6000,4600.0,1,1.0,1400.0
7000,7000,5556.0,1,1.0,1444.0
8000,8000,6508.0,1,1.0,1492.0
9000,9000,7468.0,1,1.0,1532.0
10000,10000,8422.0,1,1.0,1578.0
