steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.5328258901992915,1,0.5328258901992915,0.09999999999999998
2,2,1.565719734787696,1,1.0328938445884046,0.29999999999999993
3,3,1.8134367395931996,1,0.24771700480550357,1.2
4,4,2.632669364818022,1,0.8192326252248221,1.4
5,5,3.621903126457389,1,0.9892337616393669,1.5
6,6,3.390340736248388,1,-0.23156239020900082,2.3
7,7,4.03147872002792,1,0.6411379837795321,2.8
8,8,5.251659559628436,1,1.2201808396005165,2.9
9,9,5.772389828205137,1,0.5207302685767011,3.3
10,10,6.147988196674095,1,0.3755983684689574,3.8
12,12,5.923190247973642,1,-0.012360543800579049,5.3
14,14,7.215627261516481,1,0.6415039753255968,6.5
17,17,8.428453645292326,1,0.7121713017383443,8.0
20,20,9.388487974382858,1,-0.116858939329193,9.7
25,25,12.099620299866006,1,0.41387477812296575,12.499999999999998
30,30,15.62647467316923,1,0.38148355798943834,14.099999999999998
40,40,22.49096768295978,1,0.1230219585584462,17.799999999999994
50,50,27.324587988781982,1,0.9357122722540396,22.499999999999993
60,60,34.035830619972465,1,0.5230578730859958,26.499999999999996
70,70,36.70543189495034,1,0.7131551352879989,32.3
80,80,41.09438795983505,1,0.3448299276547585,37.900000000000006
90,90,44.79011553840542,1,1.1647391201245016,42.800000000000004
100,100,48.072890573749824,1,0.6403219756794546,49.4
120,120,59.10533884682012,1,0.28266166179406493,58.300000000000004
140,140,68.83902015310811,1,0.7210837298139724,67.2
170,170,85.4551610406743,1,0.1504459429947178,83.0
200,200,98.00567107273545,1,0.4883013729506288,97.30000000000001
250,250,122.97935115361972,1,0.5529402337189676,118.20000000000002
300,300,150.8354576985841,1,0.025014320521499468,144.2
400,400,210.81985393414885,1,0.6285937288989463,192.29999999999987
500,500,263.89734393506717,1,0.07505292876701786,240.9999999999998
600,600,307.6239578542607,1,1.3429776079284756,294.7999999999996
700,700,355.7477066233541,1,0.8901074249644132,345.69999999999953
800,800,407.239132453468,1,0.3151270939039431,394.49999999999966
900,900,459.7775366553479,1,-0.13634751065784725,441.29999999999956
1000,1000,513.9535547329099,1,0.7377830566283288,488.8999999999994
1200,1200,643.6305304173569,1,1.1858780663978206,560.7999999999986
1400,1400,824.5778068883359,1,0.9658267289887924,583.1000000000031
1700,1700,1134.0483208944129,1,1.2541809124952137,591.6000000000031
2000,2000,1436.3064512979151,1,0.6514073458812399,596.7000000000032
2500,2500,1925.628137374016,1,0.6795297328553209,607.0000000000032
3000,3000,2417.303547154794,1,1.3372310090186783,615.0000000000031
4000,4000,3409.7746578632964,1,1.2165312694978208,637.6000000000033
5000,5000,4374.608710083317,1,1.2598927012988366,667.8000000000045
6000,6000,5347.289030594661,1,0.8956230624067387,704.1000000000057
7000,7000,6331.2153939363625,1,1.057824807622716,727.3000000000056
8000,8000,7321.52969266294,1,1.055711674570027,754.8000000000056
9000,9000,8295.507770582477,1,0.6650474396894732,783.5000000000063
10000,10000,9261.654095039094,1,0.7876244643554745,805.3000000000064
