steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.00030000000000000003,1,0.00030000000000000003,0.7
2,2,0.0013,1,0.001,0.7
3,3,0.0013,1,0.0,1.7
4,4,0.0023,1,0.001,1.7
5,5,0.0024,1,0.0001,2.6
6,6,0.0033,1,0.0009000000000000001,2.7
7,7,0.0035,1,0.0002,3.5
8,8,0.0037,1,0.0002,4.3
9,9,0.0039000000000000003,1,0.0002,5.1
10,10,0.0046,1,0.0007000000000000001,5.3999999999999995
12,12,0.0063999999999999994,1,0.0009000000000000001,5.599999999999999
14,14,0.0078,1,0.0007000000000000001,6.199999999999998
17,17,0.010499999999999999,1,0.001,6.499999999999998
20,20,0.0126,1,0.0007000000000000001,7.399999999999999
25,25,0.015300000000000001,1,0.0002,9.699999999999998
30,30,0.0177,1,0.0,12.299999999999997
40,40,0.022999999999999996,1,0.0001,16.999999999999996
50,50,0.028199999999999992,1,0.0002,21.799999999999994
60,60,0.0338,1,0.0005,26.199999999999992
70,70,0.0397,1,0.0002,30.299999999999994
80,80,0.04610000000000001,1,0.0006000000000000001,33.9
90,90,0.05170000000000001,1,0.0002,38.300000000000004
100,100,0.05680000000000002,1,0.0007000000000000001,43.199999999999996
120,120,0.06720000000000004,1,0.0005,52.800000000000004
140,140,0.07810000000000004,1,0.0004,61.900000000000006
170,170,0.09080000000000006,1,0.0001,79.20000000000005
200,200,0.10490000000000008,1,0.0002,95.10000000000008
250,250,0.12820000000000006,1,0.0008,121.8000000000001
300,300,0.15480000000000002,1,0.0007000000000000001,145.2000000000002
400,400,0.21030000000000013,1,0.0009000000000000001,189.70000000000036
500,500,0.2585000000000002,1,0.0007000000000000001,241.50000000000023
600,600,0.30740000000000023,1,0.001,292.6
700,700,0.3587000000000002,1,0.0001,341.30000000000024
800,800,0.4063,1,0.0001,393.7000000000003
900,900,0.4545,1,0.0004,445.5000000000003
1000,1000,0.49919999999999987,1,0.00030000000000000003,500.8
1200,1200,0.5440999999999964,1,0.0002,655.8999999999945
1400,1400,0.6268999999999939,1,0.001,773.0999999999937
1700,1700,0.9058999999999955,1,0.001,794.0999999999932
2000,2000,1.1970999999999739,1,0.001,802.8999999999932
2500,2500,1.6806999999999206,1,0.001,819.2999999999934
3000,3000,2.1699999999998676,1,0.001,829.9999999999934
4000,4000,3.144799999999765,1,0.001,855.1999999999935
5000,5000,4.106299999999712,1,0.001,893.6999999999933
6000,6000,5.083800000000034,1,0.001,916.1999999999931
7000,7000,6.059900000000356,1,0.001,940.0999999999934
8000,8000,7.03830000000068,1,0.001,961.6999999999932
9000,9000,8.016300000000985,1,0.001,983.6999999999933
10000,10000,8.990200000000458,1,0.001,1009.7999999999931
